key	chance_to_replenish	max_count	unit_record	use_partial_replenishment	max_replenish_per_turn
#mercenary_unit_groups_tables;2;db/mercenary_unit_groups_tables/ovn_dread_king_only					
ovn_dk_inf_brigands_ror	100.0000	1	ovn_dk_inf_brigands_ror	true	0.1000
ovn_dk_inf_mummies_ror	100.0000	1	ovn_dk_inf_mummies_ror	true	0.1000
ovn_dk_inf_wights_ror	100.0000	1	ovn_dk_inf_wights_ror	true	0.1000
ovn_dk_inf_catacomb_guardians_ror	100.0000	1	ovn_dk_inf_catacomb_guardians_ror	true	0.1000
ovn_dk_cav_black_grail_knights_ror	100.0000	1	ovn_dk_cav_black_grail_knights_ror	true	0.1000
ovn_dk_mon_skeleton_elephant_ror	100.0000	1	ovn_dk_mon_skeleton_elephant_ror	true	0.1000
ovn_dk_inf_spartan_ror	100.0000	1	ovn_dk_inf_spartan_ror	true	0.1000
ovn_dk_inf_thessos_ror	100.0000	1	ovn_dk_inf_thessos_ror	true	0.1000
ovn_dk_cav_ephalian_ror	100.0000	1	ovn_dk_cav_ephalian_ror	true	0.1000
ovn_dk_art_polybolos_ror	100.0000	1	ovn_dk_art_polybolos_ror	true	0.1000
rhox_dk_ovn_dk_inf_skeleton_hoplites_no_caps	0.0000	10	ovn_dk_inf_skeleton_hoplites_no_caps	false	0.0000
rhox_dk_ovn_dk_inf_skeleton_pikemen_no_caps	0.0000	10	ovn_dk_inf_skeleton_pikemen_no_caps	false	0.0000
rhox_dk_ovn_dk_inf_skeleton_javelinmen_no_caps	0.0000	10	ovn_dk_inf_skeleton_javelinmen_no_caps	false	0.0000
rhox_dk_wh2_dlc09_tmb_inf_skeleton_archers_no_caps	0.0000	10	wh2_dlc09_tmb_inf_skeleton_archers_no_caps	false	0.0000
rhox_dk_ovn_dk_cav_skeleton_horsemen_no_caps	0.0000	10	ovn_dk_cav_skeleton_horsemen_no_caps	false	0.0000
rhox_dk_ovn_dk_cav_skeleton_horsemen_archers_no_caps	0.0000	10	ovn_dk_cav_skeleton_horsemen_archers_no_caps	false	0.0000
rhox_dk_ovn_dk_mon_skeleton_elephant_no_caps	0.0000	10	ovn_dk_mon_skeleton_elephant_no_caps	false	0.0000
rhox_dk_ovn_dk_mon_skeleton_giant_no_caps	0.0000	10	ovn_dk_mon_skeleton_giant_no_caps	false	0.0000
rhox_dk_ovn_dk_mon_skeletal_minotaurs_no_caps	0.0000	10	ovn_dk_mon_skeletal_minotaurs_no_caps	false	0.0000
rhox_dk_ovn_dk_mon_bone_hydra_no_caps	0.0000	10	ovn_dk_mon_bone_hydra_no_caps	false	0.0000
nag_morghasts	0.0000	10	nag_morghasts	true	0.0000
