ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/ovn_dread_king_only			
Soulreaper	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000
Soulreaper	wh_main_effect_character_stat_melee_attack	character_to_character_own	5.0000
Soulreaper	wh_main_effect_character_stat_weapon_strength	character_to_character_own	10.0000
Soulreaper	wh_main_effect_public_order_characters	character_to_province_own	5.0000
Soulreaper	dread_soulreaper	character_to_character_own	1.0000
elo_hand_punished_one	elo_hand_punished_one	character_to_character_own	1.0000
elo_hand_punished_one	wh_main_effect_character_mod_ancillary_drop	character_to_character_own	20.0000
elo_hand_punished_one	wh_main_effect_character_stat_miscast	character_to_character_own	-15.0000
elo_hand_punished_one	wh_main_effect_character_stat_melee_defence	character_to_character_own	6.0000
elo_hungering_blade	elo_hungering_blade	character_to_character_own	1.0000
elo_hungering_blade	wh_main_effect_character_stat_melee_attack	character_to_character_own	8.0000
elo_hungering_blade	wh_main_effect_character_stat_charge_bonus_add	character_to_character_own	15.0000
elo_hungering_blade	wh_main_effect_character_stat_enable_poison_attacks	character_to_character_own	1.0000
luthor_the_hunchback	wh_main_effect_force_army_campaign_ambush_attack_success_chance	general_to_force_own	10.0000
luthor_the_hunchback	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-10.0000
luthor_the_hunchback	wh_main_effect_agent_action_success_chance	character_to_character_own	10.0000
luthor_the_hunchback	wh_main_effect_character_stat_physical_resistance	character_to_character_own	5.0000
dread_grimoire_necris	dread_grimoire_necris	character_to_character_own	1.0000
dread_grimoire_necris	wh_main_effect_character_stat_miscast	character_to_character_own	-15.0000
dread_grimoire_necris	wh_main_effect_technology_research_points	character_to_faction_unseen	10.0000
dread_black_jewel	dread_black_jewel	character_to_character_own	1.0000
dread_black_jewel	wh_main_effect_character_stat_unit_health	character_to_character_own	10.0000
dread_black_jewel	wh_main_effect_character_stat_ward_save	character_to_character_own	20.0000
