bonus_value_id	effect	unit_set_attribute
#effect_bonus_value_unit_set_unit_attribute_junctions_tables;0;db/effect_bonus_value_unit_set_unit_attribute_junctions_tables/ovn_dread_king_only		
enable	dread_effect_enable_unbreakable_hoplites	dread_hoplites_unbreakable
enable	dread_effect_enable_unbreakable_hoplites	dread_pikemen_unbreakable
enable	ovn_basic_rider_chariot_flanker	ovn_basic_rider_chariot_flanker
enable	ovn_advanced_riders	ovn_advanced_riders
enable	ovn_dread_hidden_javeleens_rchariot_bonethrower_snipe	ovn_dread_hidden_javeleens_rchariot_bonethrower_snipe
enable	ovn_dread_hidden_javeleens_rchariot_bonethrower_stalk	ovn_dread_hidden_javeleens_rchariot_bonethrower_stalk
enable	dread_effect_attribute_enable_perfect_vigour_minotaurs	dread_effect_attribute_enable_perfect_vigour_minotaurs
enable	ovn_dk_vet_hoplites_mis_block	ovn_dk_vet_hoplites_mis_block
enable	ovn_tmb_inf_tomb_guard_1_ch_def	ovn_tmb_inf_tomb_guard_1_ch_def
enable	ovn_tmb_inf_tomb_guard_0_pvig	ovn_tmb_inf_tomb_guard_0_pvig
