faction	stance
#campaign_stances_factions_junctions_tables;0;db/campaign_stances_factions_junctions_tables/ovn_dread_king_only	
ovn_tmb_dread_king	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
ovn_tmb_dread_king	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
ovn_tmb_dread_king	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
ovn_tmb_dread_king	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
ovn_tmb_dread_king	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
ovn_tmb_dread_king	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
ovn_tmb_dread_king	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
ovn_tmb_dread_king	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
ovn_tmb_dread_king	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
