granted_ancillary	skill	level
#character_skill_level_to_ancillaries_junctions_tables;1;db/character_skill_level_to_ancillaries_junctions_tables/ovn_dread_king_only		
dread_skeletal_steed	dread_skeletal_steed	1
dread_pegasus	dread_pegasus	1
dread_zombie_dragon	dread_zombie_dragon	1
Soulreaper	Soulreaper	1
dread_grimoire_necris	dread_grimoire_necris	1
dread_black_jewel	dread_black_jewel	1
mount_skeletal_steed_hand_of_nagash	mount_skeletal_steed_hand_of_nagash	1
mount_chariot_hand_of_nagash	mount_chariot_hand_of_nagash	1
elo_hand_punished_one	elo_hand_punished_one	1
elo_hungering_blade	elo_hungering_blade	1
dread_chariot_skeletal_steed	dread_chariot_skeletal_steed	1
dread_legion_pegasus	dread_legion_pegasus	1
dread_legion_barded_skeletal_steed	dread_legion_barded_skeletal_steed	1
luthor_the_hunchback	luthor_the_hunchback	1
mount_barded_skeletal_steed_liche_vampires	mount_barded_skeletal_steed_liche_vampires	1
mount_chariot_liche_vampires	mount_chariot_liche_vampires	1
mount_pegasus_liche_vampires	mount_pegasus_liche_vampires	1
mount_warsphinx_liche_vampires	mount_warsphinx_liche_vampires	1
mount_barded_skeletal_steed_liche_death	mount_barded_skeletal_steed_liche_death	1
mount_chariot_liche_death	mount_chariot_liche_death	1
mount_pegasus_liche_death	mount_pegasus_liche_death	1
mount_warsphinx_liche_death	mount_warsphinx_liche_death	1
dread_skeletal_steed_priest_death	dread_skeletal_steed_priest_death	1
dread_skeletal_steed_priest_shadow	dread_skeletal_steed_priest_shadow	0
dread_skeletal_steed_priest_vampires	dread_skeletal_steed_priest_vampires	0
dread_anc_mount_haptmose_casket_of_souls	dread_mount_haptmose_casket_of_souls	1
dread_anc_mount_haptmose_skeletal_steed	dread_mount_haptmose_skeletal_steed	1
dread_anc_mount_haptmose_skeleton_chariot	dread_mount_haptmose_skeleton_chariot	1
