character_skill	character_skill_node	level
#character_skill_nodes_skill_locks_tables;0;db/character_skill_nodes_skill_locks_tables/elo_liche_general		
elo_liche_necromancer	Liche_general_origin_01_vampires	1
elo_liche_general_legion	Liche_general_origin_01_vampires	1
elo_liche_traitor_king	Liche_general_origin_02_vampires	1
elo_liche_general_legion	Liche_general_origin_02_vampires	1
elo_liche_traitor_king	Liche_general_origin_03_vampires	1
elo_liche_necromancer	Liche_general_origin_03_vampires	1
elo_liche_necromancer	Liche_general_origin_01_death	1
elo_liche_general_legion	Liche_general_origin_01_death	1
elo_liche_traitor_king	Liche_general_origin_02_death	1
elo_liche_general_legion	Liche_general_origin_02_death	1
elo_liche_traitor_king	Liche_general_origin_03_death	1
elo_liche_necromancer	Liche_general_origin_03_death	1
