id	names_group	type	gender	frequency
#names_tables;0;db/names_tables/ovn_dread_king_tech				
247259235	ovn_tmb_dread_king	forename	m	0
247259236	ovn_tmb_dread_king	family_name	m	0
247259237	ovn_tmb_dread_king	forename	m	0
247259238	ovn_tmb_dread_king	family_name	m	0
3110890049	ovn_tmb_dread_king	clan_name	b	0
311089122	ovn_tmb_dread_king	forename	m	0
311089123	ovn_tmb_dread_king	family_name	m	0
311089124	ovn_tmb_dread_king	forename	m	0
311089125	ovn_tmb_dread_king	forename	m	0
311089126	ovn_tmb_dread_king	forename	m	0
311089127	ovn_tmb_dread_king	forename	m	0
311089128	ovn_tmb_dread_king	forename	m	0
311089129	ovn_tmb_dread_king	clan_name	b	0
311089130	ovn_tmb_dread_king	forename	m	0
311089131	ovn_tmb_dread_king	family_name	m	0
