battle_personality	land_unit	attach	riders_attachment_point	engine_articulation_index
#land_units_to_battle_personalities_junctions_tables;1;db/land_units_to_battle_personalities_junctions_tables/ovn_dread_king_only				
dread_wh2_dlc09_tmb_chariot_rider_0	ovn_dk_veh_skeleton_archer_chariot	autonomous_rider	ap_crewposition_0	-1
dread_wh2_dlc09_tmb_chariot_rider_1_archer	ovn_dk_veh_skeleton_archer_chariot	autonomous_rider	ap_crewposition_1	-1
dread_wh2_dlc09_tmb_chariot_rider_0	ovn_dk_veh_skeleton_chariot	autonomous_rider	ap_crewposition_0	-1
dread_wh2_dlc09_tmb_chariot_rider_1	ovn_dk_veh_skeleton_chariot	autonomous_rider	ap_crewposition_1	-1
dread_elephant_rider0	ovn_dk_mon_skeleton_elephant	autonomous_rider	ap_crewposition_0	-1
dread_elephant_rider1	ovn_dk_mon_skeleton_elephant	autonomous_rider	ap_crewposition_1	-1
dread_elephant_rider2	ovn_dk_mon_skeleton_elephant	autonomous_rider	ap_crewposition_2	-1
dread_elephant_rider3	ovn_dk_mon_skeleton_elephant	autonomous_rider	ap_crewposition_3	-1
dread_elephant_rider4	ovn_dk_mon_skeleton_elephant	autonomous_rider	ap_crewposition_4	-1
dread_elephant_rider5	ovn_dk_mon_skeleton_elephant	autonomous_rider	ap_crewposition_5	-1
dread_elephant_rider_general_vampires	elo_liche_general_vampires_elephant	autonomous_rider	ap_crewposition_0	-1
dread_elephant_rider3	elo_liche_general_vampires_elephant	autonomous_rider	ap_crewposition_3	-1
dread_elephant_rider2	elo_liche_general_vampires_elephant	autonomous_rider	ap_crewposition_2	-1
dread_elephant_rider1	elo_liche_general_vampires_elephant	autonomous_rider	ap_crewposition_1	-1
dread_wh2_dlc09_tmb_chariot_rider_0	elo_liche_general_vampires_chariot	autonomous_rider	ap_crewposition_0	-1
elo_liche_general_vampires_charioteer	elo_liche_general_vampires_chariot	autonomous_rider	ap_crewposition_1	-1
dread_elephant_rider_general_death	elo_liche_general_death_elephant	autonomous_rider	ap_crewposition_0	-1
dread_elephant_rider3	elo_liche_general_death_elephant	autonomous_rider	ap_crewposition_3	-1
dread_elephant_rider2	elo_liche_general_death_elephant	autonomous_rider	ap_crewposition_2	-1
dread_elephant_rider1	elo_liche_general_death_elephant	autonomous_rider	ap_crewposition_1	-1
dread_wh2_dlc09_tmb_chariot_rider_0	elo_liche_general_death_chariot	autonomous_rider	ap_crewposition_0	-1
elo_liche_general_death_charioteer	elo_liche_general_death_chariot	autonomous_rider	ap_crewposition_1	-1
dread_wh2_dlc09_tmb_chariot_rider_0	elo_dread_centurion_chariot	autonomous_rider	ap_crewposition_0	-1
dread_chariot_centurion	elo_dread_centurion_chariot	autonomous_rider	ap_crewposition_1	-1
elo_hand_of_nagash_chariot_rider_0	elo_hand_of_nagash_chariot	autonomous_rider	ap_crewposition_0	-1
elo_hand_of_nagash_officer	elo_hand_of_nagash_chariot	autonomous_rider	ap_crewposition_1	-1
dread_mortis_engine_banshee1	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_banshee_0	-1
dread_mortis_engine_banshee2	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_banshee_1	-1
dread_mortis_engine_banshee3	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_banshee_2	-1
wh_dlc04_vmp_mortis_engine_cairn_wraith1	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_cairn_wraith_0	-1
wh_dlc04_vmp_mortis_engine_cairn_wraith2	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_cairn_wraith_1	-1
dread_mortis_engine_horse1	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_draughtposition_0	-1
dread_mortis_engine_horse2	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_draughtposition_1	-1
dread_mortis_engine_horse3	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_draughtposition_2	-1
dread_mortis_engine_knight01	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_riderposition_0	-1
dread_mortis_engine_knight02	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_riderposition_1	-1
dread_mortis_engine_knight03	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_riderposition_2	-1
dread_mortis_engine_rider1	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_crewposition_0	-1
dread_mortis_engine_skeleton1	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_skeleton_0	-1
dread_mortis_engine_skeleton2	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_skeleton_1	-1
dread_mortis_engine_skeleton3	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_skeleton_2	-1
dread_mortis_engine_skeleton4	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_skeleton_3	-1
dread_mortis_engine_skeleton5	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_skeleton_4	-1
dread_mortis_engine_skeleton6	ovn_dk_veh_mortis_engine_0	autonomous_rider	ap_skeleton_5	-1
dread_elephant_ror_rider0	ovn_dk_mon_skeleton_elephant_ror	autonomous_rider	ap_crewposition_0	-1
dread_corrupted_priest_death_barded_steed	dread_corrupted_priest_death_barded_steed	autonomous_rider	ap_riderposition_0	-1
dread_corrupted_priest_shadow_barded_steed	dread_corrupted_priest_shadow_barded_steed	autonomous_rider	ap_riderposition_0	-1
