member	context	max_range	min_range
#campaign_group_member_criteria_numeric_ranges_tables;1;db/campaign_group_member_criteria_numeric_ranges_tables/ovn_dread_king_only			
wh3_main_corruption_vampiric_91-100_ovn_dread_king	VALUE	100	91
wh3_main_corruption_vampiric_81-90_ovn_dread_king	VALUE	90	81
wh3_main_corruption_vampiric_71-80_ovn_dread_king	VALUE	80	71
wh3_main_corruption_vampiric_61-70_ovn_dread_king	VALUE	70	61
wh3_main_corruption_vampiric_51-60_ovn_dread_king	VALUE	60	51
wh3_main_corruption_vampiric_41-50_ovn_dread_king	VALUE	50	41
wh3_main_corruption_vampiric_31-40_ovn_dread_king	VALUE	40	31
wh3_main_corruption_vampiric_21-30_ovn_dread_king	VALUE	30	21
wh3_main_corruption_vampiric_11-20_ovn_dread_king	VALUE	20	11
wh3_main_corruption_vampiric_1-10_ovn_dread_king	VALUE	10	1
