level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	faction_unique	first_in_world_bundle	resource_requirement	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution	resource_cost	additional_loot_value
#building_levels_tables;0;db/building_levels_tables/ovn_dread_king_only																							
dread_pyramid_omanhan_landmark	dread_pyramid_omanhan_landmark	0	10	6000	0		false	false			true	dread_pyramid_omanhan_landmark	false	0.0000	1	true	3		true	0	0		0
dread_pyramid_nebwaneph_landmark	dread_pyramid_nebwaneph_landmark	0	10	6000	0		false	false			true	dread_pyramid_nebwaneph_landmark	false	0.0000	1	true	3		true	0	0		0
dread_pyramid_dread_king_landmark	dread_pyramid_dread_king_landmark	0	10	6000	0		false	false			true	dread_pyramid_dread_king_landmark	false	0.0000	1	true	3		true	0	0		0
dread_palace_myrmidens_landmark	dread_palace_myrmidens_landmark	0	6	10000	0		false	false			true	dread_palace_myrmidens_landmark	false	0.0000	0	true	5	wh_cam_settlement_capital_vampire	true	0	0		0
dread_temple_of_doom_landmark	dread_temple_of_doom_landmark	0	10	6000	0		false	false			true	dread_temple_of_doom_landmark	false	0.0000	0	true	3		true	0	0		0
ovn_dkl_special_settlement_pools_of_despair_1	ovn_dkl_special_settlement_pools_of_despair	1	4	750	0		false	false			true	wh2_dlc09_tmb_settlement_minor	false	0.0000	0	true	0	wh2_cam_settlement_minor_tombkings	true	0	0		0
ovn_dkl_special_settlement_pools_of_despair_2	ovn_dkl_special_settlement_pools_of_despair	2	5	1500	0		false	false			true	wh2_dlc09_tmb_settlement_minor	false	0.0000	1	true	0	wh2_cam_settlement_minor_tombkings	true	0	0		0
ovn_dkl_special_settlement_pools_of_despair_3	ovn_dkl_special_settlement_pools_of_despair	3	6	3000	0		false	false			true	wh2_dlc09_tmb_settlement_minor	false	0.0000	2	true	0	wh2_cam_settlement_minor_tombkings	true	0	0		0
ovn_dkl_special_settlement_pools_of_despair_ruin	ovn_dkl_special_settlement_pools_of_despair	0	1	0	0		false	false			true	wh2_dlc09_tmb_settlement_minor	false	0.0000	0	false	0	wh_cam_settlement_generic_ruin	true	0	0		0
dread_infantry_1	dread_infantry	0	2	500	0		false	false			true	dread_infantry	false	0.0000	0	true	1		true	0	0		0
dread_infantry_2	dread_infantry	1	3	1000	0		false	false			true	dread_infantry	false	0.0000	0	true	2		true	0	0		0
