hint	key
#character_skill_utilization_hints_junctions_tables;0;db/character_skill_utilization_hints_junctions_tables/ovn_dread_king_only	
USEFUL_ALWAYS	Ancient_Necromancer
USEFUL_ALWAYS	Dark_Lord_Of_Nagash
USEFUL_ALWAYS	Great_Summoner
USEFUL_ALWAYS	Dread_Aura
USEFUL_ALWAYS	Lord_Of_The_Undead_tmb
USEFUL_ALWAYS	Mighty_Warrior_tmb
USEFUL_ALWAYS	Soulreaper
USEFUL_ALWAYS	dread_pegasus
USEFUL_ALWAYS	dread_skeletal_steed
USEFUL_ALWAYS	dread_zombie_dragon
USEFUL_ALWAYS	dread_skeletal_steed_priest_death
USEFUL_ALWAYS	dread_skeletal_steed_priest_shadow
USEFUL_ALWAYS	dread_skeletal_steed_priest_vampires
USEFUL_ALWAYS	dread_blessing_nagash
USEFUL_ALWAYS	dread_chariot_skeletal_steed
USEFUL_ALWAYS	dread_eternal_march
USEFUL_ALWAYS	dread_legion_barded_skeletal_steed
USEFUL_ALWAYS	dread_legion_pegasus
USEFUL_ALWAYS	dread_we_are_legion
USEFUL_ALWAYS	elo_change_at_will
USEFUL_ALWAYS	elo_death_beyond
USEFUL_ALWAYS	elo_ghost_ward
USEFUL_ALWAYS	elo_lifetaker_spirit
USEFUL_ALWAYS	elo_necromantic_spectre
USEFUL_ALWAYS	elo_skill_death
USEFUL_ALWAYS	elo_true_wraith
USEFUL_ALWAYS	elo_vengeful_spirit
USEFUL_ALWAYS	elo_wraith_liche
USEFUL_ALWAYS	elo_dark_charioteer
USEFUL_ALWAYS	elo_hand_destroyer
USEFUL_ALWAYS	elo_hand_judge_executioner
USEFUL_ALWAYS	elo_hand_punished_one
USEFUL_ALWAYS	elo_hand_vortex
USEFUL_ALWAYS	elo_hungering_blade
USEFUL_ALWAYS	elo_terror_land
USEFUL_ALWAYS	elo_undead_traveler
USEFUL_ALWAYS	elo_undead_warrior
USEFUL_ALWAYS	mount_chariot_hand_of_nagash
USEFUL_ALWAYS	mount_skeletal_steed_hand_of_nagash
USEFUL_ALWAYS	elo_call_the_legions
USEFUL_ALWAYS	elo_follower_nagash
USEFUL_ALWAYS	elo_liche_general_legion
USEFUL_ALWAYS	elo_liche_necromancer
USEFUL_ALWAYS	elo_liche_traitor_king
USEFUL_ALWAYS	mount_barded_skeletal_steed_liche_vampires
USEFUL_ALWAYS	mount_chariot_liche_vampires
USEFUL_ALWAYS	mount_pegasus_liche_vampires
USEFUL_ALWAYS	mount_warsphinx_liche_vampires
USEFUL_ALWAYS	mount_barded_skeletal_steed_liche_death
USEFUL_ALWAYS	mount_chariot_liche_death
USEFUL_ALWAYS	mount_pegasus_liche_death
USEFUL_ALWAYS	mount_warsphinx_liche_death
USEFUL_ALWAYS	dread_haptmose_mortuary_cult_scholar
USEFUL_ALWAYS	dread_haptmose_soul_binding
USEFUL_ALWAYS	dread_nagash_blessing_0
USEFUL_ALWAYS	dread_grimoire_necris
USEFUL_ALWAYS	dread_black_jewel
USEFUL_ALWAYS	dread_army_buff_basic_archers
USEFUL_ALWAYS	dread_army_buff_basic_infantry
USELESS_ALWAYS	dread_army_buff_cav
USELESS_ALWAYS	dread_army_buff_chariot
USELESS_ALWAYS	dread_army_buff_vampiric_creatures
USELESS_ALWAYS	dread_army_buff_monsters
USELESS_ALWAYS	dread_hellwraith_magehunter
USELESS_ALWAYS	dread_wailing_specter
USELESS_ALWAYS	dread_poltergeist
USELESS_ALWAYS	dread_lifehunter
USELESS_ALWAYS	dread_packleader
USELESS_ALWAYS	dread_hellwraith_barrier
USELESS_ALWAYS	dread_untouchable
USELESS_ALWAYS	dread_suppressor
USELESS_ALWAYS	dread_nagash_magic
USELESS_ALWAYS	dread_eternally_bound
USELESS_ALWAYS	ovn_dk_possesed_mycanes_defender
USELESS_ALWAYS	ovn_dk_possesed_mycanes_warband
USELESS_ALWAYS	ovn_dk_possesed_athanas_minos
USELESS_ALWAYS	ovn_dk_possesed_athanas_monster_hunter
USELESS_ALWAYS	ovn_dk_possesed_hatred_delfs_mycanas
USELESS_ALWAYS	ovn_dk_possesed_hatred_bm_athanas
USELESS_ALWAYS	ovn_possesed_mycanas_shieldbearer
USELESS_ALWAYS	ovn_dk_possessed_swordsman
USELESS_ALWAYS	ovn_dk_traitor_king_ushabti
USELESS_ALWAYS	ovn_dk_traitor_king_ushabti_artisan_king
USELESS_ALWAYS	ovn_dk_traitor_king_tomb_guard
USELESS_ALWAYS	ovn_dk_traitor_king_tomb_guard_elite
USELESS_ALWAYS	ovn_dk_hierophant_silver_tongue
USELESS_ALWAYS	ovn_dk_hierophant_mortuary
USELESS_ALWAYS	ovn_dk_hierophant_gifts
USELESS_ALWAYS	ovn_dk_hierophant_undeath_ascendant
USELESS_ALWAYS	ovn_dk_hierophant_liche
USELESS_ALWAYS	dread_haptmose_mortuary_cult_scholar
USELESS_ALWAYS	dread_haptmose_soul_binding
USELESS_ALWAYS	dread_nagash_blessing_0
USELESS_ALWAYS	ovn_dk_possesed_tormented_puppet
USELESS_ALWAYS	ovn_dk_possesed_possesion
USELESS_ALWAYS	ovn_possesed_overdrive
USELESS_ALWAYS	ovn_dk_traitor_king_warrior_king
USELESS_ALWAYS	ovn_dk_traitor_king_nagash_boon
USELESS_ALWAYS	ovn_dk_traitor_king_willingly_damned
USELESS_ALWAYS	ovn_dk_traitor_king_dark_glory
