campaign_group	effect_bundle	effect_type
#campaign_group_pooled_resource_effects_tables;2;db/campaign_group_pooled_resource_effects_tables/ovn_dread_king_only		
wh3_main_corruption_vampiric_91-100_ovn_dread_king	wh3_main_corruption_vampiric_91-100_ovn_dread_king	ABSOLUTE_VALUE
wh3_main_corruption_vampiric_81-90_ovn_dread_king	wh3_main_corruption_vampiric_81-90_ovn_dread_king	ABSOLUTE_VALUE
wh3_main_corruption_vampiric_71-80_ovn_dread_king	wh3_main_corruption_vampiric_71-80_ovn_dread_king	ABSOLUTE_VALUE
wh3_main_corruption_vampiric_61-70_ovn_dread_king	wh3_main_corruption_vampiric_61-70_ovn_dread_king	ABSOLUTE_VALUE
wh3_main_corruption_vampiric_51-60_ovn_dread_king	wh3_main_corruption_vampiric_51-60_ovn_dread_king	ABSOLUTE_VALUE
wh3_main_corruption_vampiric_41-50_ovn_dread_king	wh3_main_corruption_vampiric_41-50_ovn_dread_king	ABSOLUTE_VALUE
wh3_main_corruption_vampiric_31-40_ovn_dread_king	wh3_main_corruption_vampiric_31-40_ovn_dread_king	ABSOLUTE_VALUE
wh3_main_corruption_vampiric_21-30_ovn_dread_king	wh3_main_corruption_vampiric_21-30_ovn_dread_king	ABSOLUTE_VALUE
wh3_main_corruption_vampiric_11-20_ovn_dread_king	wh3_main_corruption_vampiric_11-20_ovn_dread_king	ABSOLUTE_VALUE
wh3_main_corruption_vampiric_1-10_ovn_dread_king	wh3_main_corruption_vampiric_1-10_ovn_dread_king	ABSOLUTE_VALUE
