phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/ovn_dread_king_only			
Dread_Aura	stat_morale	-12.0000	add
elo_hand_judge_executioner	stat_armour	-30.0000	add
elo_hand_judge_executioner	stat_melee_defence	-40.0000	add
elo_hand_judge_executioner	scalar_speed	0.4000	mult
contact_phase_mummy_curse	stat_melee_damage_ap	0.7500	mult
contact_phase_mummy_curse	stat_melee_damage_base	0.7500	mult
dread_passive_blessing_black_grail	stat_resistance_all	15.0000	add
dread_passive_teb_stance	stat_melee_attack	1.2000	mult
dread_unit_formation_diamond	scalar_speed	0.5000	mult
dread_unit_formation_diamond	stat_bonus_vs_infantry	8.0000	add
dread_unit_formation_diamond	stat_charge_bonus	1.6000	mult
dread_unit_formation_diamond	stat_missile_block_chance	0.7600	mult
dread_passive_phalanx_buffer	scalar_bracing	1.1000	mult
dread_passive_phalanx	scalar_bracing	1.2500	mult
dread_passive_phalanx	stat_mass	1.5000	mult
dread_active_grimoire_necris	scalar_spell_mastery	1.2500	mult
dread_passive_black_jewel	scalar_miscast_chance	1.3000	mult
dread_passive_catacomb_guardians	stat_resistance_all	10.0000	add
dread_passive_thessos	stat_morale	10.0000	add
dread_passive_thessos	stat_melee_attack	5.0000	add
elo_necromantic_anchor	stat_morale	10.0000	add
elo_liche_land_of_nagash	stat_melee_attack	24.0000	add
elo_liche_land_of_nagash	stat_morale	16.0000	add
ovn_unnerving_presence	stat_morale	-4.0000	add
dread_passive_inpenetrable_phalanx_start	scalar_bracing	1.2500	mult
dread_passive_inpenetrable_phalanx_start	stat_mass	1.5000	mult
dread_passive_inpenetrable_phalanx_advance	scalar_bracing	1.3500	mult
dread_passive_inpenetrable_phalanx_advance	stat_mass	1.7500	mult
dread_passive_inpenetrable_phalanx_advance	stat_melee_defence	4.0000	add
dread_passive_inpenetrable_phalanx_end	scalar_bracing	1.4500	mult
dread_passive_inpenetrable_phalanx_end	stat_mass	2.0000	mult
dread_passive_inpenetrable_phalanx_end	stat_melee_defence	8.0000	add
ovn_preserved_ferocity	stat_melee_attack	15.0000	add
ovn_preserved_ferocity	stat_melee_damage_ap	1.5000	mult
ovn_preserved_ferocity	stat_melee_damage_base	1.5000	mult
ovn_preserved_ferocity	stat_charge_bonus	30.0000	add
ovn_undead_elite_start	stat_melee_attack	4.0000	add
ovn_undead_elite_advance	stat_melee_attack	6.0000	add
ovn_undead_elite_advance	stat_melee_damage_base	1.2000	mult
ovn_undead_elite_end	stat_melee_attack	8.0000	add
ovn_undead_elite_end	stat_melee_damage_base	1.3000	mult
ovn_undead_elite_end	stat_melee_damage_ap	1.3000	mult
ovn_undead_discipline	stat_melee_defence	8.0000	add
ovn_undead_discipline	stat_melee_attack	4.0000	add
ovn_chariot_charge	stat_mass	2.0000	mult
ovn_chariot_charge	scalar_charge_speed	1.2500	mult
ovn_chariot_charge	stat_charge_bonus	1.5000	mult
ovn_chariot_charge	stat_resistance_all	20.0000	add
ovn_undead_rider_elite	stat_missile_block_chance	30.0000	add
ovn_undead_rider_elite	scalar_speed	1.2000	mult
ovn_undead_rider_elite	stat_bonus_vs_large	8.0000	add
ovn_necromantic_gatherers	stat_melee_attack	-15.0000	add
ovn_necromantic_gatherers	stat_melee_damage_base	0.8000	mult
ovn_necromantic_gatherers	stat_melee_damage_ap	0.8000	mult
ovn_necromantic_gatherers	stat_morale	-10.0000	add
ovn_bestial_rage	stat_bonus_vs_infantry	6.0000	add
ovn_bestial_rage	stat_melee_damage_base	1.3000	mult
ovn_bestial_rage	stat_melee_damage_ap	1.3000	mult
dread_passive_wights_ror	stat_melee_damage_base	1.2000	mult
dread_passive_wights_ror	stat_melee_damage_ap	1.2000	mult
ovn_hellwraith_magic_suppression	scalar_miscast_chance	1.5000	mult
ovn_possesed_overdrive	scalar_speed	1.3000	mult
ovn_possesed_overdrive	stat_melee_damage_base	2.0000	mult
ovn_possesed_overdrive	stat_melee_damage_ap	2.0000	mult
ovn_possesed_overdrive	stat_melee_attack	25.0000	add
ovn_possesed_overdrive	stat_charge_bonus	2.0000	mult
