unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/zzz_nagash_comp	
Dread_King	mixer_nag_nagash
Dread_King_barded_steed	mixer_nag_nagash
Dread_King_pegasus	mixer_nag_nagash
Dread_King_zombie_dragon	mixer_nag_nagash
elo_hand_of_nagash	mixer_nag_nagash
elo_hand_of_nagash_barded_steed	mixer_nag_nagash
elo_hand_of_nagash_chariot	mixer_nag_nagash
nagash_ovn_dk_mon_skeleton_elephant	mixer_nag_nagash
nagash_ovn_dk_cav_royal_guard_lancers	mixer_nag_nagash
nagash_ovn_dk_inf_tomb_guardian_peltasts	mixer_nag_nagash
nagash_ovn_dk_inf_skeleton_pikemen	mixer_nag_nagash
nagash_ovn_dk_inf_tomb_guardian	mixer_nag_nagash
nagash_ovn_dk_inf_skeleton_hoplites	mixer_nag_nagash
nagash_ovn_dk_inf_skeleton_javelinmen_no_caps	mixer_nag_nagash
