agent_subtype	ancillary
#ancillaries_included_agent_subtypes_tables;0;db/ancillaries_included_agent_subtypes_tables/ovn_dread_king_only	
Dread_King	dread_skeletal_steed
Dread_King	dread_pegasus
Dread_King	dread_zombie_dragon
Dread_King	Soulreaper
Dread_King	dread_black_jewel
elo_dread_centurion	dread_chariot_skeletal_steed
elo_dread_centurion	dread_legion_barded_skeletal_steed
elo_dread_centurion	dread_legion_pegasus
elo_dread_larenscheld	luthor_the_hunchback
elo_dread_larenscheld	dread_grimoire_necris
elo_liche_general_vampires	mount_barded_skeletal_steed_liche_vampires
elo_liche_general_vampires	mount_chariot_liche_vampires
elo_liche_general_vampires	mount_pegasus_liche_vampires
elo_liche_general_vampires	mount_warsphinx_liche_vampires
elo_liche_general_death	mount_barded_skeletal_steed_liche_death
elo_liche_general_death	mount_chariot_liche_death
elo_liche_general_death	mount_pegasus_liche_death
elo_liche_general_death	mount_warsphinx_liche_death
elo_hand_of_nagash	mount_skeletal_steed_hand_of_nagash
elo_hand_of_nagash	mount_chariot_hand_of_nagash
dread_traitor_tomb_king_nebwaneph	wh2_dlc09_anc_mount_tmb_tomb_king_khemrian_warsphinx
dread_traitor_tomb_king_nebwaneph	wh2_dlc09_anc_mount_tmb_tomb_king_skeletal_steed
dread_traitor_tomb_king_nebwaneph	wh2_dlc09_anc_mount_tmb_tomb_king_skeleton_chariot
dread_traitor_tomb_king_omanhan_iii	wh2_dlc09_anc_mount_tmb_tomb_king_khemrian_warsphinx
dread_traitor_tomb_king_omanhan_iii	wh2_dlc09_anc_mount_tmb_tomb_king_skeletal_steed
dread_traitor_tomb_king_omanhan_iii	wh2_dlc09_anc_mount_tmb_tomb_king_skeleton_chariot
dread_traitor_tomb_king_haptmose	dread_anc_mount_haptmose_casket_of_souls
dread_traitor_tomb_king_haptmose	dread_anc_mount_haptmose_skeletal_steed
dread_traitor_tomb_king_haptmose	dread_anc_mount_haptmose_skeleton_chariot
elo_hand_of_nagash	elo_hand_punished_one
elo_hand_of_nagash	elo_hungering_blade
dread_corrupted_priest_death	dread_skeletal_steed_priest_death
dread_corrupted_priest_shadow	dread_skeletal_steed_priest_shadow
dread_corrupted_priest_vampires	dread_skeletal_steed_priest_vampires
