character_item	character_name
#battle_set_piece_armies_characters_items_tables;0;db/battle_set_piece_armies_characters_items_tables/ovn_dread_king_only	
Soulreaper	Dread_King
dread_black_jewel	Dread_King
Soulreaper	Dread_King_barded_steed
dread_black_jewel	Dread_King_barded_steed
Soulreaper	Dread_King_pegasus
dread_black_jewel	Dread_King_pegasus
Soulreaper	Dread_King_zombie_dragon
dread_black_jewel	Dread_King_zombie_dragon
elo_hand_punished_one	elo_hand_of_nagash
elo_hungering_blade	elo_hand_of_nagash
elo_hand_punished_one	elo_hand_of_nagash_barded_steed
elo_hungering_blade	elo_hand_of_nagash_barded_steed
elo_hand_punished_one	elo_hand_of_nagash_chariot
elo_hungering_blade	elo_hand_of_nagash_chariot
