key	faction	soldier_type	unit_variant	subculture	primary_colour_hex	secondary_colour_hex	tertiary_colour_hex
#unit_variants_colours_tables;3;db/unit_variants_colours_tables/ovn_dread_king_only							
31801		soldier	Dread_King		AE4841	AE4841	AE4841
31802		officer	Dread_King		AE4841	AE4841	AE4841
31803		autonomous_rider	Dread_King		AE4841	AE4841	AE4841
31804		soldier	ovn_dk_cav_black_grail_knights_ror		1C1F11	1C1F11	1C1F11
31805		soldier	elo_hand_of_nagash		1C1F11	1C1F11	1C1F11
31806		autonomous_rider	elo_hand_of_nagash		1C1F11	1C1F11	1C1F11
31807		officer	elo_hand_of_nagash		1C1F11	1C1F11	1C1F11
31808		soldier	ovn_dk_inf_skeleton_hoplites		DFDCC6	342B24	7B5A3F
31809		soldier	ovn_dk_inf_skeleton_pikemen		DFDCC6	342B24	7B5A3F
31810		autonomous_rider	ovn_dk_veh_skeleton_chariot		DFDCC6	342B24	7B5A3F
31811		soldier	ovn_dk_inf_tomb_guardian		2D5353	AE4841	AE4841
31812		soldier	ovn_dk_inf_tomb_guardian_great_weapons		2D5353	AE4841	AE4841
31813		soldier	ovn_dk_inf_tomb_guardian_summoned		2D5353	AE4841	AE4841
31814		soldier	ovn_dk_inf_tomb_guardian_great_weapons_summoned		2D5353	AE4841	AE4841
31815		soldier	ovn_dk_inf_tomb_guardian_peltasts		2D5353	AE4841	AE4841
31816		soldier	ovn_dk_cav_royal_guard_cavalry		2D5353	AE4841	AE4841
31817		soldier	ovn_dk_cav_royal_guard_lancers		2D5353	AE4841	AE4841
31818		soldier	elo_dread_centurion		2D5353	AE4841	AE4841
31819		autonomous_rider	elo_dread_centurion		2D5353	AE4841	AE4841
31820		officer	elo_dread_centurion		2D5353	AE4841	AE4841
31821		soldier	elo_liche_general_vampires		973D38	2D5353	844911
31822		autonomous_rider	elo_liche_general_vampires		973D38	2D5353	844911
31823		officer	elo_liche_general_vampires		973D38	2D5353	844911
31824		soldier	elo_liche_general_death		973D38	2D5353	844911
31825		autonomous_rider	elo_liche_general_death		973D38	2D5353	844911
31826		officer	elo_liche_general_death		973D38	2D5353	844911
31827		soldier	ovn_dk_inf_wights_ror		1C1F11	1C1F11	7B5A3F
31828		soldier	ovn_dk_inf_catacomb_guardians_ror		487184	67C3BD	AE4841
31829		soldier	dread_corrupted_priest_death		FFFFFF	FFFFFF	FFFFFF
31830		autonomous_rider	dread_corrupted_priest_death		FFFFFF	FFFFFF	FFFFFF
31831		officer	dread_corrupted_priest_death		FFFFFF	FFFFFF	FFFFFF
31832		soldier	dread_corrupted_priest_shadow		FFFFFF	FFFFFF	FFFFFF
31833		autonomous_rider	dread_corrupted_priest_shadow		FFFFFF	FFFFFF	FFFFFF
31834		officer	dread_corrupted_priest_shadow		FFFFFF	FFFFFF	FFFFFF
31835		soldier	dread_corrupted_priest_vampires		FFFFFF	FFFFFF	FFFFFF
31836		autonomous_rider	dread_corrupted_priest_vampires		FFFFFF	FFFFFF	FFFFFF
31837		officer	dread_corrupted_priest_vampires		FFFFFF	FFFFFF	FFFFFF
31838		soldier	ovn_dk_inf_brigands_ror		383838	1C6003	3A0000
31839		autonomous_rider	ovn_dk_veh_mortis_engine_0		FFFFFF	FFFFFF	FFFFFF
31840		mount	ovn_dk_mon_skeleton_elephant		2D5353	AE4841	844911
31841		soldier	ovn_dk_inf_spartan_ror		973D38	342B24	7B5A3F
31842		soldier	ovn_dk_cav_ephalian_ror		845D3A	342B24	7B5A3F
31843		soldier	dread_cha_possessed_hero_01		FFFFFF	FFFFFF	FFFFFF
31844		soldier	dread_cha_possessed_hero_02		FFFFFF	FFFFFF	FFFFFF
21030900272		soldier	ovn_dk_cav_black_grail_knights_ror		000000	000000	000000
