ability_group	unit
#special_ability_groups_to_units_junctions_tables;0;db/special_ability_groups_to_units_junctions_tables/ovn_dread_king_only	
wh_main_lore_vampires	elo_dread_larenscheld
wh_main_lore_vampires	elo_liche_general_vampires
wh_main_lore_vampires	elo_liche_general_vampires_barded_steed
wh_main_lore_vampires	elo_liche_general_vampires_chariot
wh_main_lore_vampires	elo_liche_general_vampires_pegasus
wh_main_lore_vampires	elo_liche_general_vampires_elephant
wh_main_lore_death	elo_liche_general_death
wh_main_lore_death	elo_liche_general_death_barded_steed
wh_main_lore_death	elo_liche_general_death_chariot
wh_main_lore_death	elo_liche_general_death_pegasus
wh_main_lore_death	elo_liche_general_death_elephant
wh_main_lore_vampires	elo_hand_of_nagash
wh_main_lore_vampires	elo_hand_of_nagash_barded_steed
wh_main_lore_vampires	elo_hand_of_nagash_chariot
wh_main_lore_vampires	Dread_King
wh_main_lore_vampires	Dread_King_barded_steed
wh_main_lore_vampires	Dread_King_pegasus
wh_main_lore_vampires	Dread_King_zombie_dragon
wh_main_lore_death	dread_corrupted_priest_death
wh_main_lore_death	dread_corrupted_priest_death_barded_steed
wh_dlc05_lore_shadows	dread_corrupted_priest_shadow
wh_dlc05_lore_shadows	dread_corrupted_priest_shadow_barded_steed
wh_main_lore_vampires	dread_corrupted_priest_vampires
wh_main_lore_vampires	dread_corrupted_priest_vampires_barded_steed
wh2_dlc09_lore_nehekhara	dread_cha_liche_high_priest_haptmose_0
wh2_dlc09_lore_nehekhara	dread_cha_liche_high_priest_haptmose_1
wh2_dlc09_lore_nehekhara	dread_cha_liche_high_priest_haptmose_2
wh2_dlc09_lore_nehekhara	dread_cha_liche_high_priest_haptmose_3
wh_dlc05_lore_shadows	dread_cha_possessed_hero_shadows
wh_dlc03_lore_beasts	dread_cha_possessed_hero_beasts
