bonus_value_id	effect	ritual
#effect_bonus_value_ritual_junctions_tables;0;db/effect_bonus_value_ritual_junctions_tables/ovn_dread_king_only		
disable	ovn_dread_king_disable_ritual_ephesian	ovn_dk_cav_ephalian
disable	ovn_dread_king_disable_ritual_polybolos	ovn_dk_art_polybolos
disable	ovn_dread_king_disable_ritual_spartan	ovn_dk_inf_spartan
disable	ovn_dread_king_disable_ritual_thesos	ovn_dk_inf_thessos
percentage_cost_mod	wh2_dlc09_effect_tmb_rite_cost_mod	dread_ritual_tmb_awakening
percentage_cost_mod	wh3_main_tmb_rite_cost_mod	dread_ritual_tmb_awakening
percentage_cost_mod	wh2_dlc09_effect_tmb_rite_cost_mod	dread_ritual_tmb_legions
percentage_cost_mod	wh3_main_tmb_rite_cost_mod	dread_ritual_tmb_legions
percentage_cost_mod	wh2_dlc09_effect_tmb_rite_cost_mod	dread_ritual_tmb_conquest
percentage_cost_mod	wh3_main_tmb_rite_cost_mod	dread_ritual_tmb_conquest
percentage_cost_mod	wh2_dlc09_effect_tmb_rite_cost_mod	dread_ritual_tmb_necromancy
percentage_cost_mod	wh3_main_tmb_rite_cost_mod	dread_ritual_tmb_necromancy
disable	wh2_dlc09_disable_ritual_army_capacity	dread_ritual_crafting_tmb_army_capacity
percentage_cost_mod	wh2_dlc09_ritual_crafted_army_cost_increase	dread_ritual_crafting_tmb_army_capacity
percentage_cost_mod	wh3_main_tmb_rite_cost_mod_crafting	dread_ritual_crafting_tmb_army_capacity
percentage_cost_mod	wh3_main_tmb_rite_cost_mod_crafting	dread_ritual_crafting_tmb_liche_priest_capacity
percentage_cost_mod	wh3_main_tmb_rite_cost_mod_crafting	dread_ritual_crafting_tmb_necrotect_capacity
percentage_cost_mod	wh3_main_tmb_rite_cost_mod_crafting	dread_ritual_crafting_tmb_prince_capacity
