key	num_instances
#building_instances_tables;0;db/building_instances_tables/ovn_dread_king_only	
dread_pyramid_omanhan_landmark	1
dread_pyramid_nebwaneph_landmark	1
dread_pyramid_dread_king_landmark	1
dread_palace_myrmidens_landmark	1
dread_temple_of_doom_landmark	1
dread_infantry	1
dread_cavalry	1
dread_burial_mound	1
dread_ghosts	1
dread_hydras	1
dread_colossus	1
dread_mortis	1
dread_chariots	1
dread_citadel	1
dread_estate	1
dread_growth	1
dread_income	1
dread_public_order	1
dread_special_galbaraz_mourkain_tmb	1
