agent	faction	subtype
#faction_agent_permitted_subtypes_tables;0;db/faction_agent_permitted_subtypes_tables/ovn_dread_king_only		
champion	ovn_tmb_dread_king	elo_dread_centurion
colonel	ovn_tmb_dread_king	elo_liche_general_vampires
colonel	ovn_tmb_dread_king	elo_liche_general_death
engineer	ovn_tmb_dread_king	dread_hellwraith
engineer	ovn_tmb_dread_king	wh2_dlc09_tmb_necrotect_ritual
general	ovn_tmb_dread_king	Dread_King
general	ovn_tmb_dread_king	elo_hand_of_nagash
general	ovn_tmb_dread_king	elo_liche_general_vampires
minister	ovn_tmb_dread_king	elo_liche_general_vampires
general	ovn_tmb_dread_king	elo_liche_general_death
minister	ovn_tmb_dread_king	elo_liche_general_death
wizard	ovn_tmb_dread_king	dread_corrupted_priest_death
wizard	ovn_tmb_dread_king	dread_corrupted_priest_shadow
wizard	ovn_tmb_dread_king	dread_corrupted_priest_vampires
wizard	ovn_tmb_dread_king	elo_dread_larenscheld
general	ovn_tmb_dread_king	dread_traitor_tomb_king_nebwaneph
general	ovn_tmb_dread_king	dread_traitor_tomb_king_omanhan_iii
general	ovn_tmb_dread_king	dread_traitor_tomb_king_haptmose
general	ovn_tmb_dread_king	dread_possessed_hero_01
general	ovn_tmb_dread_king	dread_possessed_hero_02
