character_skill	character_level	upgrade_to_skill_level
#character_skills_to_level_reached_criterias_tables;0;db/character_skills_to_level_reached_criterias_tables/ovn_dread_king_only		
dread_mount_haptmose_casket_of_souls	17	1
dread_mount_haptmose_skeletal_steed	6	1
dread_mount_haptmose_skeleton_chariot	13	1
dread_skeletal_steed	7	1
dread_pegasus	9	1
dread_zombie_dragon	17	1
mount_skeletal_steed_hand_of_nagash	6	1
mount_chariot_hand_of_nagash	13	1
dread_skeletal_steed_priest_death	6	1
dread_skeletal_steed_priest_shadow	6	1
dread_skeletal_steed_priest_vampires	6	1
dread_legion_barded_skeletal_steed	3	1
dread_chariot_skeletal_steed	9	1
dread_legion_pegasus	15	1
mount_barded_skeletal_steed_liche_vampires	3	1
mount_chariot_liche_vampires	9	1
mount_pegasus_liche_vampires	13	1
mount_warsphinx_liche_vampires	17	1
mount_barded_skeletal_steed_liche_death	3	1
mount_chariot_liche_death	9	1
mount_pegasus_liche_death	13	1
mount_warsphinx_liche_death	17	1
liche_immortality	11	1
Soulreaper	6	1
elo_hand_punished_one	11	1
elo_hungering_blade	6	1
luthor_the_hunchback	6	1
dread_black_jewel	11	1
dread_grimoire_necris	11	1
