key	precursor	default_projectile	audio_type	use_secondary_ammo_pool
#missile_weapons_tables;11;db/missile_weapons_tables/ovn_dread_king_only				
ovn_dk_skeleton_javelin	false	ovn_dk_skeleton_javelin	javelin	false
ovn_dk_peltast_javelin_heavy	false	ovn_dk_peltast_javelin_heavy	javelin	false
dread_bone_thrower	false	dread_bone_thrower	bolt_large	false
dread_polybolos	false	dread_polybolos	bolt_large	false
dread_skull_projectile	false	dread_skull_projectile	catapult_screaming_skull	false
ovn_dread_archer_poison	false	ovn_dread_archer_poison	bow	false
ovn_dread_hunter_javelin	false	ovn_dread_hunter_javelin	javelin	false
ovn_royal_hunter_javelin	false	ovn_royal_hunter_javelin	javelin	false
ovn_horse_archer_arrows_poison	false	ovn_horse_archer_arrows_poison	bow	false
ovn_chariot_explosive_arrows	false	ovn_chariot_explosive_arrows	bow	false
ovn_splitting_skulls	false	ovn_splitting_skulls	catapult_screaming_skull	false
ovn_monster_slaying_bolts	false	ovn_monster_slaying_bolts	bolt_large	false
