key	unit_ability	unit_set
#unit_set_unit_ability_junctions_tables;0;db/unit_set_unit_ability_junctions_tables/ovn_dread_king_only		
elo_ghost_vampire_novice_01	wh_main_spell_vampires_invocation_of_nehek	elo_larenscheld_afterlife
elo_ghost_vampire_novice_02	wh_main_spell_vampires_gaze_of_nagash	elo_larenscheld_afterlife
elo_ghost_vampire_advanced_01	wh_main_spell_vampires_vanhels_danse_macabre	elo_larenscheld_afterlife
elo_ghost_vampire_advanced_02	wh_main_spell_vampires_raise_dead	elo_larenscheld_afterlife
elo_ghost_vampire_expert_01	wh_main_spell_vampires_curse_of_years	elo_larenscheld_afterlife
elo_ghost_vampire_expert_02	wh_main_spell_vampires_wind_of_death	elo_larenscheld_afterlife
elo_ghost_vampire_master_01	wh_main_spell_vampires_raise_dead_upgraded	elo_larenscheld_afterlife
elo_ghost_vampire_master_02	wh_main_spell_vampires_invocation_of_nehek_upgraded	elo_larenscheld_afterlife
elo_ghost_vampire_master_03	wh_main_spell_vampires_vanhels_danse_macabre_upgraded	elo_larenscheld_afterlife
elo_ghost_vampire_master_04	wh_main_spell_vampires_wind_of_death_upgraded	elo_larenscheld_afterlife
elo_ghost_vampire_master_05	wh_main_spell_vampires_gaze_of_nagash_upgraded	elo_larenscheld_afterlife
elo_ghost_vampire_novice_03	wh_main_lore_passive_the_curse_of_undeath	elo_larenscheld_afterlife
elo_ghost_master_of_dead_01	wh_main_character_passive_master_of_the_dead	elo_larenscheld_afterlife
elo_ghost_master_of_dead_02	wh_main_character_abilities_magical_animus	elo_larenscheld_afterlife
ovn_unending_legions	ovn_unending_legions	ovn_dread_basic_skelly_archer_melee
ovn_dread_beasts_frenzy	wh_main_unit_passive_frenzy	ovn_dread_beasts_frenzy
ovn_unnerving_presence	ovn_unnerving_presence	ovn_dread_mummy_wraith_rider
dread_passive_inpenetrable_phalanx	dread_passive_inpenetrable_phalanx	ovn_hoplite_pikes_phalanx
ovn_mino_elephant_hydra_ferocity	ovn_preserved_ferocity	ovn_mino_elephant_hydra_ferocity
ovn_dread_royal_elite	ovn_undead_elite	ovn_dread_royal_elite
ovn_undead_discipline	ovn_undead_discipline	wh2_dlc09_tmb_all_melee_infantry
ovn_chariot_charge	ovn_chariot_charge	ovn_chariot_charge
ovn_undead_rider_elite	ovn_undead_rider_elite	ovn_undead_rider_elite
ovn_ghost_barrier	ovn_ghost_barrier	ovn_ghost_barrier
ovn_bestial_rage	ovn_bestial_rage	ovn_dread_beasts_frenzy
ovn_necromantic_gatherers	ovn_necromantic_gatherers	ovn_dread_monsters
ovn_dread_all_non_characters_remove_unstable	wh2_dlc09_unit_passive_unstable_sand	ovn_dread_all_non_characters
ovn_dread_all_non_characters_remove_unstable_II	wh2_dlc09_unit_passive_unstable_mark_ii_sand	ovn_dread_all_non_characters
ovn_vet_tmb_inf_tomb_guard_0_frenzy	wh_main_unit_passive_frenzy	ovn_vet_tmb_inf_tomb_guard_0
ovn_vet_tmb_inf_tomb_guard_1_guard	wh2_dlc09_unit_passive_guardian	ovn_vet_tmb_inf_tomb_guard_1
ovn_vet_tmb_inf_tomb_guard_1_regen	wh_main_unit_passive_regeneration	ovn_vet_tmb_inf_tomb_guard_1
