key	unit_attribute	unit_set
#unit_set_unit_attribute_junctions_tables;0;db/unit_set_unit_attribute_junctions_tables/ovn_dread_king_only		
dread_hoplites_unbreakable	unbreakable	ovn_dk_inf_skeleton_hoplites
dread_pikemen_unbreakable	unbreakable	ovn_dk_inf_skeleton_pikemen
ovn_basic_rider_chariot_flanker	devastating_flanker	ovn_basic_rider_chariot_flanker
ovn_dread_hidden_javeleens_rchariot_bonethrower_snipe	snipe	ovn_dread_hidden_javeleens_rchariot_bonethrower
ovn_dread_hidden_javeleens_rchariot_bonethrower_stalk	stalk	ovn_dread_hidden_javeleens_rchariot_bonethrower
ovn_advanced_riders	fatigue_immune	ovn_advanced_riders
dread_effect_attribute_enable_perfect_vigour_minotaurs	fatigue_immune	ovn_dk_mon_skeleton_minotaurs_no_ror
ovn_dk_vet_hoplites_mis_block	can_block_missiles_360	ovn_dk_vet_hoplites
ovn_dk_vet_hoplites_mis_block_ror	can_block_missiles_360	ovn_dk_vet_hoplites_ror
ovn_tmb_inf_tomb_guard_1_ch_def	charge_defense	ovn_tmb_inf_tomb_guard_1
ovn_tmb_inf_tomb_guard_0_pvig	fatigue_immune	ovn_tmb_inf_tomb_guard_0
