faction_key	campaign_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;1;db/character_skill_level_details_tables/elo_liche_general						
		1	liche_immortality		x	11
		1	elo_liche_traitor_king		x	9
		1	elo_liche_necromancer		x	9
		1	elo_liche_general_legion		x	9
		1	elo_follower_nagash		x	11
		1	elo_call_the_legions		x	14
		1	mount_barded_skeletal_steed_liche_vampires		x	3
		1	mount_chariot_liche_vampires		x	9
		1	mount_pegasus_liche_vampires		x	13
		1	mount_warsphinx_liche_vampires		x	17
		1	mount_barded_skeletal_steed_liche_death		x	3
		1	mount_chariot_liche_death		x	9
		1	mount_pegasus_liche_death		x	13
		1	mount_warsphinx_liche_death		x	17
