key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/ovn_dread_king_only	
el1_skeleton_elephant	elephant01
el1_ele_bale	elephant01
hu1_dread_skeleton_2hpike	humanoid01
hu1_hr1_dread_rider_2hlance	humanoid01
hu1_skeleton_javelin_shield_spear	humanoid01
hu1_wight_2handed_axe	humanoid01
hu1_catror_halberd	humanoid01
gh1_hellwra	ghost01
hu1_dreadk_hr1_warhorse_staff_and_sword	humanoid01
hu1_dreadk_hr1_pegasus_staff_and_sword	humanoid01
hu1_vampire_dreadk_dr1_zombie_dragon_wb_sword_and_shield	humanoid01
hu1_dkl_priest_mace_and_satchel	humanoid01
hu1_dkl_priest_hr1_warhorse_mace_and_satchel	humanoid01
dk_bolt_thrower01b	boltthrower01b
dk_polybolos01b	boltthrower01b
hu1_black_grail_knights_hr1_warhorse_lance_sword_shield	humanoid01
hr1_skeletal_steee	horse01
hu1_strate_wm_tomb_chariot01_staff_and_sword	humanoid01
hu1_dreadking_tomb_javelin_spear_shield	humanoid01
hu1_hr1_dread_hetairoi_2hsword_pegasus	humanoid01
hu1_dread_hoplite_spear_shield	humanoid01
vigpro_vmp_skeleton_hydra	dragon02
wm_dreadballista01	doomdivercatapult01
hu12_skeleton_minotaur_2handed_axe	humanoid12
hu4_colossus	humanoid04
hu1_handofnagash_staff_and_sword	humanoid01
hu1_handofnagash_wm_tomb_chariot01_staff_and_sword	humanoid01
hu1g_dread_possessed_hero	humanoid01g
