building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/ovn_dread_king_only			
dread_pyramid_omanhan_landmark		wh2_main_set_landmark	false
dread_pyramid_nebwaneph_landmark		wh2_main_set_landmark	false
dread_pyramid_dread_king_landmark		wh2_main_set_landmark	false
dread_palace_myrmidens_landmark		wh2_main_set_landmark	false
dread_temple_of_doom_landmark		wh2_main_set_landmark	false
dread_infantry		wh2_dlc09_set_tomb_kings_military_recruitment	false
dread_cavalry		wh2_dlc09_set_tomb_kings_military_recruitment	false
dread_ghosts		wh2_dlc09_set_tomb_kings_military_support	false
dread_hydras		wh2_dlc09_set_tomb_kings_military_support	false
dread_colossus		wh2_dlc09_set_tomb_kings_military_support	false
dread_mortis		wh2_dlc09_set_tomb_kings_military_support	false
dread_burial_mound		wh2_dlc09_set_tomb_kings_military_recruitment	false
dread_chariots		wh2_dlc09_set_tomb_kings_military_recruitment	false
dread_citadel		wh2_dlc09_set_tomb_kings_infrastructure	false
dread_estate		wh2_dlc09_set_tomb_kings_infrastructure	false
dread_growth		wh2_dlc09_set_tomb_kings_infrastructure	false
dread_income		wh2_dlc09_set_tomb_kings_infrastructure	false
dread_public_order		wh2_dlc09_set_tomb_kings_infrastructure	false
dread_special_nagashizzar_dread_king		wh2_main_set_landmark	false
dread_special_the_great_desert_dread_king		wh2_main_set_landmark	false
dread_special_galbaraz_mourkain_tmb		wh2_main_set_landmark	false
