bonus_value_id	effect	unit_set_ability
#effect_bonus_value_unit_set_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_set_unit_ability_junctions_tables/ovn_dread_king_only		
enable	elo_ghost_vampire_novice	elo_ghost_vampire_novice_01
enable	elo_ghost_vampire_novice	elo_ghost_vampire_novice_02
enable	elo_ghost_vampire_advanced	elo_ghost_vampire_advanced_01
enable	elo_ghost_vampire_advanced	elo_ghost_vampire_advanced_02
enable	elo_ghost_vampire_expert	elo_ghost_vampire_expert_01
enable	elo_ghost_vampire_expert	elo_ghost_vampire_expert_02
enable	elo_ghost_vampire_master	elo_ghost_vampire_master_01
enable	elo_ghost_vampire_master	elo_ghost_vampire_master_02
enable	elo_ghost_vampire_master	elo_ghost_vampire_master_03
enable	elo_ghost_vampire_master	elo_ghost_vampire_master_04
enable	elo_ghost_vampire_master	elo_ghost_vampire_master_05
enable	elo_ghost_vampire_novice	elo_ghost_vampire_novice_03
enable	elo_ghost_master_of_dead	elo_ghost_master_of_dead_01
enable	elo_ghost_master_of_dead	elo_ghost_master_of_dead_02
enable	ovn_unending_legions	ovn_unending_legions
enable	ovn_dread_beasts_frenzy	ovn_dread_beasts_frenzy
enable	ovn_unnerving_presence	ovn_unnerving_presence
enable	dread_passive_inpenetrable_phalanx	dread_passive_inpenetrable_phalanx
enable	ovn_mino_elephant_hydra_ferocity	ovn_mino_elephant_hydra_ferocity
enable	ovn_dread_royal_elite	ovn_dread_royal_elite
enable	ovn_undead_discipline	ovn_undead_discipline
enable	ovn_chariot_charge	ovn_chariot_charge
enable	ovn_undead_rider_elite	ovn_undead_rider_elite
enable	ovn_ghost_barrier	ovn_ghost_barrier
enable	ovn_bestial_rage	ovn_bestial_rage
enable	ovn_necromantic_gatherers	ovn_necromantic_gatherers
disable	ovn_dread_all_non_characters_remove_unstable	ovn_dread_all_non_characters_remove_unstable
disable	ovn_dread_all_non_characters_remove_unstable_II	ovn_dread_all_non_characters_remove_unstable_II
enable	ovn_vet_tmb_inf_tomb_guard_0_frenzy	ovn_vet_tmb_inf_tomb_guard_0_frenzy
enable	ovn_vet_tmb_inf_tomb_guard_1_guard	ovn_vet_tmb_inf_tomb_guard_1_guard
enable	ovn_vet_tmb_inf_tomb_guard_1_regen	ovn_vet_tmb_inf_tomb_guard_1_regen
