key	auto_generate	is_caster	small_icon	associated_unit_override	audio_voiceover_actor_group	show_in_ui	cap	has_female_name	can_gain_xp	loyalty_is_applicable	contributes_to_agent_cap	recruitment_category	magic_lore	names_group	can_be_loaned	recruitable	saving_settings	audio_vo_culture_override	spam_click_vo_enabled	can_equip_ancillaries	cost	recruitment_button_active_icon_path	recruitment_button_background_icon_path
#agent_subtypes_tables;2;db/agent_subtypes_tables/ovn_dread_king_only																							
elo_dread_larenscheld	false	true	ui/campaign ui/agents/wh_main_lore_vampires.png	elo_dread_larenscheld	wh_main_vo_actor_Vampire_Necromancer	false	-1	false	true	false	false				true	true	cannot_be_saved_loaded		false	true	1300		
elo_hand_of_nagash	false	true		elo_hand_of_nagash	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_Prince	true	-1	false	true	false	true	legendary_lords			false	true	cannot_be_saved_loaded		false	true	1300		
Dread_King	false	true		Dread_King	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	true	-1	false	true	false	true	legendary_lords			false	true	cannot_be_saved_loaded		false	true	1500		
elo_liche_general_vampires	true	true	ui/campaign ui/agents/wh_main_lore_vampires.png	elo_liche_general_vampires	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	true	-1	false	true	false	true	dread_liche	wh_main_lore_vampires	ovn_tmb_dread_king	true	true	cannot_be_saved_loaded		false	true	1100		
elo_liche_general_death	true	true	ui/campaign ui/agents/wh_main_lore_death.png	elo_liche_general_death	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	true	-1	false	true	false	true	dread_liche	wh_main_lore_death	ovn_tmb_dread_king	true	true	cannot_be_saved_loaded		false	true	1100		
elo_dread_centurion	true	false		elo_dread_centurion	wh_main_vo_actor_Vampire_WightKing	true	-1	false	true	false	true			ovn_tmb_dread_king	true	true	cannot_be_saved_loaded		false	true	700		
dread_corrupted_priest_death	true	true	ui/campaign ui/agents/wh_main_lore_death.png	dread_corrupted_priest_death	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	true	-1	false	true	false	true			ovn_tmb_dread_king	true	true	cannot_be_saved_loaded		false	true	800		
dread_corrupted_priest_shadow	true	true	ui/campaign ui/agents/wh_dlc05_lore_shadow.png	dread_corrupted_priest_shadow	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	true	-1	false	true	false	true			ovn_tmb_dread_king	true	true	cannot_be_saved_loaded		false	true	800		
dread_corrupted_priest_vampires	true	true	ui/campaign ui/agents/wh_main_lore_vampires.png	dread_corrupted_priest_vampires	wh2_dlc09_vo_actor_Tomb_Kings_Liche_Priest	true	-1	false	true	false	true			ovn_tmb_dread_king	true	true	cannot_be_saved_loaded		false	true	800		
dread_hellwraith	true	false		dread_hellwraith	wh_main_vo_actor_Vampire_WightKing	true	-1	false	true	false	true			ovn_tmb_dread_king	true	true	cannot_be_saved_loaded		false	true	750		
dread_traitor_tomb_king_nebwaneph	false	false		wh2_dlc09_tmb_cha_tomb_king_0	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	true	-1	false	true	false	true	tmb_dynasties			true	true	cannot_be_saved_loaded		false	true	1100		
dread_traitor_tomb_king_omanhan_iii	false	false		wh2_dlc09_tmb_cha_tomb_king_0	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	true	-1	false	true	false	true	tmb_dynasties			true	true	cannot_be_saved_loaded		false	true	1100		
dread_traitor_tomb_king_haptmose	false	true		dread_cha_liche_high_priest_haptmose_0	wh2_dlc09_vo_actor_Tomb_Kings_Tomb_King	true	-1	false	true	false	true	tmb_dynasties			true	true	cannot_be_saved_loaded		false	true	1100		
dread_possessed_hero_01	false	true		dread_cha_possessed_hero_shadows	wh_main_vo_actor_Vampire_WightKing	true	-1	false	true	false	true	tmb_dynasties			true	true	cannot_be_saved_loaded		false	true	1150		
dread_possessed_hero_02	false	true		dread_cha_possessed_hero_beasts	wh_main_vo_actor_Vampire_WightKing	true	-1	false	true	false	true	tmb_dynasties			true	true	cannot_be_saved_loaded		false	true	1150		
