id	priority	unit	unit_group
#armed_citizenry_units_to_unit_groups_junctions_tables;0;db/armed_citizenry_units_to_unit_groups_junctions_tables/ovn_dread_king_only			
190917	1250	ovn_dk_veh_mortis_engine_0	wh2_dlc09_tmb_art_casket_of_souls_0
190939	700	ovn_dk_art_screaming_skull_ballista	wh2_dlc09_tmb_art_screaming_skull_catapult_0
190940	1425	ovn_dk_cav_royal_guard_lancers	wh2_dlc09_tmb_cav_necropolis_knights_0
190941	1575	ovn_dk_cav_royal_guard_lancers	wh2_dlc09_tmb_cav_necropolis_knights_1
190942	650	ovn_dk_cav_royal_guard_cavalry	wh2_dlc09_tmb_cav_nehekhara_horsemen_0
190943	400	ovn_dk_cav_skeleton_horsemen_0	wh2_dlc09_tmb_cav_skeleton_horsemen_0
190944	475	ovn_dk_cav_skeleton_horsemen_archers_0	wh2_dlc09_tmb_cav_skeleton_horsemen_archers_0
190945	700	elo_dread_centurion	wh2_dlc09_tmb_cha_tomb_prince_0
190946	700	ovn_dk_art_bone_throwers	wh2_dlc09_tmb_defence_major_1
190947	525	ovn_dk_inf_skeleton_javelinmen	wh2_dlc09_tmb_defence_major_1
190948	950	ovn_dk_veh_skeleton_archer_chariot	wh2_dlc09_tmb_defence_major_1
190949	525	ovn_dk_inf_mummies	wh2_dlc09_tmb_defence_major_1
190950	950	ovn_dk_veh_skeleton_archer_chariot	wh2_dlc09_tmb_defence_major_2
190951	700	ovn_dk_art_screaming_skull_ballista	wh2_dlc09_tmb_defence_major_2
190952	525	ovn_dk_inf_skeleton_javelinmen	wh2_dlc09_tmb_defence_major_2
190953	950	ovn_dk_veh_skeleton_archer_chariot	wh2_dlc09_tmb_defence_major_2
190954	525	ovn_dk_inf_mummies	wh2_dlc09_tmb_defence_major_2
190955	950	ovn_dk_veh_skeleton_archer_chariot	wh2_dlc09_tmb_defence_major_3
190956	525	ovn_dk_inf_skeleton_hoplites	wh2_dlc09_tmb_defence_major_3
190957	525	ovn_dk_inf_skeleton_hoplites	wh2_dlc09_tmb_defence_major_3
190958	950	ovn_dk_veh_skeleton_archer_chariot	wh2_dlc09_tmb_defence_major_3
190959	700	ovn_dk_art_screaming_skull_ballista	wh2_dlc09_tmb_defence_major_3
190960	900	ovn_dk_mon_skeletal_minotaurs	wh2_dlc09_tmb_defence_major_3
