order	special_ability	target_self	target_friends	target_enemies	phase
#special_ability_to_special_ability_phase_junctions_tables;2;db/special_ability_to_special_ability_phase_junctions_tables/ovn_dread_king_only					
1	Dread_Aura	false	false	true	Dread_Aura
1	elo_hand_terror_past	false	false	true	elo_hand_terror_past
1	elo_hand_punished_one	true	false	false	elo_hand_punished_one
1	elo_hungering_blade	true	false	false	elo_hungering_blade
1	elo_hand_judge_executioner	false	false	true	elo_hand_judge_executioner
1	elo_necromantic_anchor	false	true	false	elo_necromantic_anchor
1	dread_passive_blessing_mimic_black_grail	true	false	false	dread_passive_blessing_black_grail
1	dread_passive_blessing_black_grail	true	false	false	dread_passive_blessing_black_grail
1	dread_passive_teb_stance	true	false	false	dread_passive_teb_stance
1	dread_unit_formation_diamond	true	false	false	dread_unit_formation_diamond_buffer
2	dread_unit_formation_diamond	true	false	false	dread_unit_formation_diamond
1	wh2_dlc09_army_passive_realm_of_souls_skeleminos_trigger	false	true	false	wh2_dlc09_army_passive_realm_of_souls_skeleminos_trigger
1	dread_passive_phalanx	true	false	false	dread_passive_phalanx_buffer
2	dread_passive_phalanx	true	false	false	dread_passive_phalanx
1	dread_soulreaper	true	false	false	dread_soulreaper
1	dread_active_grimoire_necris	true	false	false	dread_active_grimoire_necris
1	dread_passive_black_jewel	false	false	true	dread_passive_black_jewel
1	dread_passive_catacomb_guardians	true	false	false	dread_passive_catacomb_guardians
1	dread_passive_thessos	true	false	false	dread_passive_thessos
1	dread_passive_wights_ror	true	false	false	dread_passive_wights_ror
1	dread_active_kleruchoi	true	false	false	dread_active_kleruchoi
1	elo_liche_land_of_nagash	true	true	false	elo_liche_land_of_nagash
1	ovn_unending_legions	true	false	false	ovn_unending_legions
1	ovn_unnerving_presence	false	false	true	ovn_unnerving_presence
1	dread_passive_inpenetrable_phalanx	true	false	false	dread_passive_inpenetrable_phalanx_start
2	dread_passive_inpenetrable_phalanx	true	false	false	dread_passive_inpenetrable_phalanx_advance
3	dread_passive_inpenetrable_phalanx	true	false	false	dread_passive_inpenetrable_phalanx_end
1	ovn_preserved_ferocity	true	false	false	ovn_preserved_ferocity
1	ovn_undead_elite	true	false	false	ovn_undead_elite_start
2	ovn_undead_elite	true	false	false	ovn_undead_elite_advance
3	ovn_undead_elite	true	false	false	ovn_undead_elite_end
1	ovn_undead_discipline	true	false	false	ovn_undead_discipline
1	ovn_chariot_charge	true	false	false	ovn_chariot_charge
1	ovn_undead_rider_elite	true	false	false	ovn_undead_rider_elite
1	ovn_ghost_barrier	true	false	false	ovn_ghost_barrier
1	ovn_necromantic_gatherers	false	false	true	ovn_necromantic_gatherers
1	ovn_bestial_rage	true	false	false	ovn_bestial_rage
1	ovn_hellwraith_magic_suppression	false	false	true	ovn_hellwraith_magic_suppression
1	ovn_possesed_overdrive	true	false	false	ovn_possesed_overdrive
