variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/ovn_dread_king_only							
Dread_King		dread_king		1.0000	1.2000	0.0000	
elo_hand_of_nagash		elo_hand_of_nagash		1.0000	1.2000	0.0000	
elo_dread_larenscheld		elo_dread_larenscheld		1.0000	1.1500	0.0000	
elo_dread_larenscheld_wright		vmp_ghost_cairnwraith		1.0000	1.1500	0.0000	
elo_dread_larenscheld_wright_perfect		elo_dread_ghost_larenscheld		1.0000	1.1500	0.0000	
dread_liche_strategos_01		dread_liche_strategos_01		1.0000	1.2000	0.0500	
dread_liche_strategos_02		dread_liche_strategos_02		1.0000	1.2000	0.0500	
dread_liche_strategos_03		dread_liche_strategos_03		1.0000	1.2000	0.0500	
dread_liche_strategos_04		dread_liche_strategos_04		1.0000	1.2000	0.0500	
dread_liche_strategos_05		dread_liche_strategos_05		1.0000	1.2000	0.0500	
dread_hetairoi_01		dread_hetairoi_01		1.0000	1.1000	0.0500	
dread_hetairoi_02		dread_hetairoi_02		1.0000	1.1000	0.0500	
dread_hetairoi_03		dread_hetairoi_03		1.0000	1.1000	0.0500	
dread_wh2_dlc09_tmb_skeleton_sword_shield		dread_tmb_skeleton_sword_shield		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
dread_wh2_dlc09_tmb_skeleton_spear_shield		dread_tmb_skeleton_spear_shield		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
dread_wh2_dlc09_tmb_skeleton_sword_bow		dread_tmb_skeleton_sword_bow		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
dread_wh2_dlc09_tmb_skeleton_halberd		dread_tmb_skeleton_halberd		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
dread_wh2_dlc09_tmb_skeleton_sword		dread_tmb_skeleton_sword		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
dread_wh2_dlc09_tmb_skeleton_charioteer_whip		dread_tmb_skeleton_charioteer_whip		1.0000	1.0000	0.0500	
dread_tmb_skeleton_hand_charioteer_whip		dread_tmb_skeleton_hand_charioteer_whip		1.0000	1.0000	0.0500	
dread_hoplites		dread_hoplites		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
dread_pikemen		dread_pikemen		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
elo_dread_mummy		elo_dread_mummy		1.0000	1.0000	0.0500	
dread_javelinmen		dread_javelinmen		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
elo_tomb_guardian		elo_tomb_guardian		1.0000	1.1000	0.0500	hu1\imposter\humanoid_imposter
elo_tomb_guardian_2h_waepons		elo_tomb_guardian_2h_waepons		1.0000	1.1000	0.0500	hu1\imposter\humanoid_imposter
elo_tomb_guardian_peltasts		elo_tomb_guardian_peltasts		1.0000	1.1000	0.0500	hu1\imposter\humanoid_imposter
black_grail_knights		black_grail_knights		1.0000	1.0000	0.0500	hu1\imposter\humanoid_imposter
black_grail_knights_horse		black_grail_knights_horse		1.0000	1.0000	0.0500	
elo_tomb_guardian_cavalry		elo_tomb_guardian_cavalry		1.0000	1.1000	0.0500	hu1\imposter\humanoid_imposter
elo_tomb_guardian_lancers		elo_tomb_guardian_lancers		1.0000	1.1000	0.0500	hu1\imposter\humanoid_imposter
ovn_dkl_skeleton_giant		dkl_skeleton_giant		1.0000	1.0000	0.0000	
dread_skeletal_steed	VariantMeshes\wh_variantmodels\hr1\emp\emp_warbeast_horse\tech	dread_skeletal_steed		1.0000	1.0000	0.0500	
dread_skeletal_steed_chariot		dread_skeletal_steed_chariot		1.0000	1.0000	0.0500	
