from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/ovn_dread_king_only	
dread_burial_mound	dread_burial_mound_2
dread_cavalry_1	dread_cavalry_2
dread_cavalry_2	dread_cavalry_3
dread_infantry_1	dread_infantry_2
dread_infantry_2	dread_infantry_3
dread_infantry_3	dread_infantry_4
dread_ghosts_1	dread_ghosts_2
dread_elephants_1	dread_hydras_1
dread_chariots_1	dread_chariots_2
dread_chariots_2	dread_chariots_3
dread_public_order_1	dread_public_order_2
dread_public_order_2	dread_public_order_3
dread_growth_1	dread_growth_2
dread_growth_2	dread_growth_3
dread_income_1	dread_income_2
dread_income_2	dread_income_3
dread_special_the_great_desert_dread_king_1	dread_special_the_great_desert_dread_king_2
