currency_type	item_type	cost_value
#battle_currency_units_cost_values_tables;0;db/battle_currency_units_cost_values_tables/ovn_dread_king_only		
supplies_currency	Dread_King	1450.0000
supplies_currency	Dread_King_barded_steed	1650.0000
supplies_currency	Dread_King_pegasus	2100.0000
supplies_currency	Dread_King_zombie_dragon	2200.0000
supplies_currency	dread_corrupted_priest_death	300.0000
supplies_currency	dread_corrupted_priest_death_barded_steed	500.0000
supplies_currency	dread_corrupted_priest_shadow	300.0000
supplies_currency	dread_corrupted_priest_shadow_barded_steed	500.0000
supplies_currency	dread_corrupted_priest_vampires	300.0000
supplies_currency	dread_corrupted_priest_vampires_barded_steed	500.0000
supplies_currency	dread_hellwraith	550.0000
supplies_currency	dread_cha_liche_high_priest_haptmose_0	550.0000
supplies_currency	dread_cha_liche_high_priest_haptmose_1	750.0000
supplies_currency	dread_cha_liche_high_priest_haptmose_2	1000.0000
supplies_currency	dread_cha_liche_high_priest_haptmose_3	1250.0000
supplies_currency	dread_cha_possessed_hero_shadows	1150.0000
supplies_currency	dread_cha_possessed_hero_beasts	1150.0000
supplies_currency	elo_dread_centurion	700.0000
supplies_currency	elo_dread_centurion_barded_horse	900.0000
supplies_currency	elo_dread_centurion_chariot	950.0000
supplies_currency	elo_dread_centurion_pegasus	1350.0000
supplies_currency	elo_dread_larenscheld	550.0000
supplies_currency	elo_dread_larenscheld_wright	550.0000
supplies_currency	elo_dread_larenscheld_wright_perfect	550.0000
supplies_currency	elo_hand_of_nagash	1000.0000
supplies_currency	elo_hand_of_nagash_barded_steed	1200.0000
supplies_currency	elo_hand_of_nagash_chariot	1400.0000
supplies_currency	elo_liche_general_vampires	1100.0000
supplies_currency	elo_liche_general_vampires_barded_steed	1300.0000
supplies_currency	elo_liche_general_vampires_chariot	1350.0000
supplies_currency	elo_liche_general_vampires_elephant	2000.0000
supplies_currency	elo_liche_general_vampires_pegasus	1550.0000
supplies_currency	elo_liche_general_death	1100.0000
supplies_currency	elo_liche_general_death_barded_steed	1300.0000
supplies_currency	elo_liche_general_death_chariot	1350.0000
supplies_currency	elo_liche_general_death_elephant	2000.0000
supplies_currency	elo_liche_general_death_pegasus	1550.0000
supplies_currency	ovn_dk_art_bone_throwers	600.0000
supplies_currency	ovn_dk_art_polybolos_ror	800.0000
supplies_currency	ovn_dk_art_screaming_skull_ballista	700.0000
supplies_currency	ovn_dk_cav_black_grail_knights_ror	1700.0000
supplies_currency	ovn_dk_cav_ephalian_ror	900.0000
supplies_currency	ovn_dk_cav_royal_guard_cavalry	850.0000
supplies_currency	ovn_dk_cav_royal_guard_lancers	950.0000
supplies_currency	ovn_dk_cav_skeleton_horsemen_0	400.0000
supplies_currency	ovn_dk_cav_skeleton_horsemen_archers_0	500.0000
supplies_currency	ovn_dk_inf_brigands_ror	675.0000
supplies_currency	ovn_dk_inf_cairn_wraiths	850.0000
supplies_currency	ovn_dk_inf_catacomb_guardians_ror	1600.0000
supplies_currency	ovn_dk_inf_mummies	525.0000
supplies_currency	ovn_dk_inf_mummies_ror	950.0000
supplies_currency	ovn_dk_inf_skeleton_hoplites	525.0000
supplies_currency	ovn_dk_inf_skeleton_javelinmen	475.0000
supplies_currency	ovn_dk_inf_skeleton_pikemen	625.0000
supplies_currency	ovn_dk_inf_spartan_ror	1350.0000
supplies_currency	ovn_dk_inf_thessos_ror	1250.0000
supplies_currency	ovn_dk_inf_tomb_guardian	750.0000
supplies_currency	ovn_dk_inf_tomb_guardian_great_weapons	850.0000
supplies_currency	ovn_dk_inf_tomb_guardian_great_weapons_summoned	0.0000
supplies_currency	ovn_dk_inf_tomb_guardian_peltasts	800.0000
supplies_currency	ovn_dk_inf_tomb_guardian_summoned	0.0000
supplies_currency	ovn_dk_inf_wights_ror	1150.0000
supplies_currency	ovn_dk_mon_bone_hydra	2000.0000
supplies_currency	ovn_dk_mon_skeletal_minotaurs	800.0000
supplies_currency	ovn_dk_mon_skeletal_minotaurs_summon	0.0000
supplies_currency	ovn_dk_mon_skeleton_elephant	1800.0000
supplies_currency	ovn_dk_mon_skeleton_elephant_ror	2150.0000
supplies_currency	ovn_dk_mon_skeleton_giant	2000.0000
supplies_currency	ovn_dk_veh_mortis_engine_0	1400.0000
supplies_currency	ovn_dk_veh_skeleton_archer_chariot	950.0000
supplies_currency	ovn_dk_veh_skeleton_chariot	800.0000
