key	image	max_displays	weighting	first_shown_weighting	category
#loading_screen_quotes_tables;5;db/loading_screen_quotes_tables/!!!!!_dreadking_loadingscreen_lore					
ovn_dk_dread_king	ui/portraits/portholes/no_culture/dread_king.png	-1	1	2	generic
ovn_dk_hand	ui/portraits/portholes/no_culture/elo_hand_of_nagash.png	-1	1	2	generic
ovn_dk_larenscheld	ui/portraits/portholes/no_culture/elo_larenscheld.png	-1	1	2	generic
ovn_dk_hoplite	ui/units/infopics/ovn_dk_skelehoplite.png	-1	1	3	unit
ovn_dk_elephant	ui/units/infopics/ovn_dk_skelephant.png	-1	1	3	unit
ovn_campaign_dk	ui/flags/ovn_tmb_dread_king/mon_rotated.png	-1	1	4	campaign
ovn_dk_lore_1		-1	1	0	quote
ovn_dk_lore_2		-1	1	0	quote
ovn_dk_lore_3		-1	1	0	quote
ovn_dk_lore_4		-1	1	0	quote
ovn_dk_lore_5		-1	1	0	quote
ovn_dk_lore_6		-1	1	0	quote
