effect	bonus_value_id	agent
#effect_bonus_value_agent_junction_tables;0;db/effect_bonus_value_agent_junction_tables/ovn_dread_king_only		
dk_effect_agent_action_cost_mod_dread_corrupted_priest	action_cost_mod	wizard
dk_effect_agent_cap_increase_dread_corrupted_priest	cap	wizard
dk_effect_agent_recruitment_xp_dread_corrupted_priest	recruitment_level	wizard
dk_effect_agent_action_success_chance_dread_corrupted_priest	success_mod	wizard
dk_effect_agent_action_cost_mod_elo_centurion	action_cost_mod	champion
dk_effect_agent_action_success_chance_elo_centurion	success_mod	champion
dk_effect_agent_cap_increase_elo_centurion	cap	champion
dk_effect_agent_recruitment_xp_elo_centurion	recruitment_level	champion
dk_effect_agent_action_cost_mod_dread_hellwraith	action_cost_mod	engineer
dk_effect_agent_action_success_chance_dread_hellwraith	success_mod	engineer
dk_effect_agent_recruitment_xp_dread_hellwraith	recruitment_level	engineer
dk_effect_agent_cap_increase_dread_hellwraith	cap	engineer
enable_recruitment_elo_centurion	availability	champion
enable_recruitment_dread_hellwraith	availability	engineer
enable_recruitment_dread_corrupted_priest_hidden	availability	wizard
enable_recruitment_dread_corrupted_priest	availability	wizard
