character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
#campaign_mount_animation_set_overrides_tables;2;db/campaign_mount_animation_set_overrides_tables/ovn_dread_king_only			
cam_hu1_empire_sword	Dread_King_barded_steed	cam_hu1_empire_hr1_warhorse_sword	0
cam_hu1_empire_sword	Dread_King_pegasus	cam_hu1_empire_hr1_warhorse_sword	0
cam_hu1_empire_sword	Dread_King_zombie_dragon	cam_hu1_empire_dr1_dragon_wb_sword_and_shield	0
cam_hu1_empire_staff_and_sword	elo_hand_of_nagash_barded_steed	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	elo_hand_of_nagash_chariot	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	elo_liche_general_vampires_barded_steed	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	elo_liche_general_vampires_chariot	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	elo_liche_general_vampires_pegasus	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	elo_liche_general_vampires_elephant	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	elo_liche_general_death_barded_steed	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	elo_liche_general_death_chariot	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	elo_liche_general_death_pegasus	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	elo_liche_general_death_elephant	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_lord_hu1_settra_2handed_halberd	elo_dread_centurion_barded_horse	cam_hu1_dlc14_hr1_warhorse_repanse_2handed_sword	0
cam_lord_hu1_settra_2handed_halberd	elo_dread_centurion_chariot	cam_lord_hu1_settra_2handed_halberd_chariot	0
cam_lord_hu1_settra_2handed_halberd	elo_dread_centurion_pegasus	cam_hu1_dlc14_hr1_warhorse_repanse_2handed_sword	0
cam_lord_hu1_wh3_kislev_mace_and_satchel	dread_corrupted_priest_death_barded_steed	cam_hu1_kislev_hr1_warhorse_mace_and_satchel	0
cam_lord_hu1_wh3_kislev_mace_and_satchel	dread_corrupted_priest_shadow_barded_steed	cam_hu1_kislev_hr1_warhorse_mace_and_satchel	0
cam_lord_hu1_wh3_kislev_mace_and_satchel	dread_corrupted_priest_vampires_barded_steed	cam_hu1_kislev_hr1_warhorse_mace_and_satchel	0
cam_lord_hu1_liche_priest_staff_and_sword	dread_cha_liche_high_priest_haptmose_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	45
cam_lord_hu1_liche_priest_staff_and_sword	dread_cha_liche_high_priest_haptmose_2	cam_lord_hu1_liche_priest_staff_and_sword_chariot	45
cam_lord_hu1_liche_priest_staff_and_sword	dread_cha_liche_high_priest_haptmose_3	cam_lord_hu1_liche_priest_staff_and_sword_casket_of_souls	45
