invalid_usage_flag	special_ability
#special_ability_to_invalid_usage_flags_tables;0;db/special_ability_to_invalid_usage_flags_tables/ovn_dread_king_only	
climbing	elo_liche_call_the_legions
phase_is_deployment	elo_liche_call_the_legions
climbing	spawn_ushabti_dread_king
climbing_manning_eq_on_platform	larenscheld_ghost_on_death
health_above_10%	larenscheld_ghost_on_death_upgraded
on_a_platform	larenscheld_ghost_on_death_upgraded
phase_is_deployment	larenscheld_ghost_on_death_upgraded
phase_is_the_end_phase	larenscheld_ghost_on_death_upgraded
on_a_platform	larenscheld_change_at_will
phase_is_deployment	larenscheld_change_at_will
phase_is_the_end_phase	larenscheld_change_at_will
climbing	larenscheld_bombardment
engaged_in_melee	dread_unit_abilities_hydra_breath
