ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/ovn_dread_king_only	
elo_liche_call_the_legions	raise_legion
elo_liche_call_the_legions	wh_dlc04_all_summon_melee_expert
elo_liche_call_the_legions	wh_main_all_direct_damage_unbinding
spawn_ushabti_dread_king	dread_all_summon_minotaus
spawn_ushabti_dread_king	wh_dlc04_all_summon_melee_expert
spawn_ushabti_dread_king	wh_main_all_direct_damage_unbinding
elo_hand_vortex	wh2_main_all_magical_damage_major
elo_hand_vortex	wh2_main_spell_friendly_fire_explosion
elo_hand_vortex	wh_main_vortex_large_static_aoe
larenscheld_ghost_on_death	larenscheld_ghost_on_death
larenscheld_ghost_on_death_upgraded	larenscheld_ghost_on_death_upgraded
larenscheld_change_at_will	larenscheld_change_at_will
larenscheld_bombardment	wh2_main_all_good_against_armour
larenscheld_bombardment	wh2_main_all_magical_damage_major
larenscheld_bombardment	wh2_main_bombardment_medium_strike_aoe
larenscheld_bombardment	wh_main_all_strong_against_unit
dread_unit_abilities_hydra_breath	wh_main_all_good_vs_large
dread_unit_abilities_hydra_breath	wh_main_all_strong_against_unit
dread_unit_abilities_hydra_breath	wh_main_projectile_powerful_explosion
wh2_dlc09_army_abilities_realm_of_souls_skeleminos	dread_all_summon_minotaus
wh2_dlc09_army_abilities_realm_of_souls_skeleminos	wh2_dlc09_all_unlocks_at_realm_of_souls
wh2_dlc09_army_abilities_realm_of_souls_skeleminos	wh_dlc04_all_summon_melee_expert
wh2_dlc09_army_abilities_realm_of_souls_skeleminos	wh_main_all_direct_damage_unbinding
dread_soulreaper	wh_main_all_replenish
dread_active_kleruchoi	wh2_dlc12_refuse_to_die
ovn_preserved_ferocity	wh3_main_ability_intensity_kills
ovn_necromantic_gatherers	wh3_dlc20_ability_intensity_nearby_deaths
ovn_bestial_rage	wh3_main_all_friendly_spreading_radius_30m
ovn_hellwraith_magic_suppression	wh3_dlc23_negate_magical_weapons
ovn_possesed_overdrive	wh_main_all_direct_damage_self
