building_chain	id
#building_chain_availability_sets_tables;0;db/building_chain_availability_sets_tables/ovn_dread_king_only	
dread_pyramid_omanhan_landmark	wh2_dlc09_bas_tmb
dread_pyramid_nebwaneph_landmark	wh2_dlc09_bas_tmb
dread_pyramid_dread_king_landmark	wh2_dlc09_bas_tmb
dread_palace_myrmidens_landmark	wh2_dlc09_bas_tmb
dread_temple_of_doom_landmark	wh2_dlc09_bas_tmb
dread_infantry	wh2_dlc09_bas_tmb
dread_cavalry	wh2_dlc09_bas_tmb
dread_burial_mound	wh2_dlc09_bas_tmb
dread_ghosts	wh2_dlc09_bas_tmb
dread_hydras	wh2_dlc09_bas_tmb
dread_colossus	wh2_dlc09_bas_tmb
dread_mortis	wh2_dlc09_bas_tmb
dread_chariots	wh2_dlc09_bas_tmb
dread_citadel	wh2_dlc09_bas_tmb
dread_estate	wh2_dlc09_bas_tmb
dread_growth	wh2_dlc09_bas_tmb
dread_income	wh2_dlc09_bas_tmb
dread_public_order	wh2_dlc09_bas_tmb
dread_special_nagashizzar_dread_king	wh2_dlc09_bas_tmb
dread_special_the_great_desert_dread_king	wh2_dlc09_bas_tmb
dread_special_galbaraz_mourkain_tmb	wh2_dlc09_bas_tmb
