id	dilemma_key	option_key	value	target
#cdir_events_dilemma_option_junctions_tables;1;db/cdir_events_dilemma_option_junctions_tables/rhox_dreadking				
6704221507	rhox_dk_servants_in_undeath_elephant	CND_FACTION	ovn_tmb_dread_king	default
6704221508	rhox_dk_servants_in_undeath_elephant	CND_FIRST_ROUND	5	default
6704221509	rhox_dk_servants_in_undeath_elephant	CND_ROUNDS_UNTIL_NEXT	40	default
6704221510	rhox_dk_servants_in_undeath_elephant	GEN_TARGET_NONE		default
6704221511	rhox_dk_servants_in_undeath_elephant	VAR_CHANCE	5	default
6704221512	rhox_dk_servants_in_undeath_minotaur	CND_FACTION	ovn_tmb_dread_king	default
6704221513	rhox_dk_servants_in_undeath_minotaur	CND_FIRST_ROUND	5	default
6704221514	rhox_dk_servants_in_undeath_minotaur	CND_ROUNDS_UNTIL_NEXT	40	default
6704221515	rhox_dk_servants_in_undeath_minotaur	GEN_TARGET_NONE		default
6704221516	rhox_dk_servants_in_undeath_minotaur	VAR_CHANCE	5	default
6704221517	rhox_dk_servants_in_undeath_hydra	CND_FACTION	ovn_tmb_dread_king	default
6704221518	rhox_dk_servants_in_undeath_hydra	CND_FIRST_ROUND	5	default
6704221519	rhox_dk_servants_in_undeath_hydra	CND_ROUNDS_UNTIL_NEXT	40	default
6704221520	rhox_dk_servants_in_undeath_hydra	GEN_TARGET_NONE		default
6704221521	rhox_dk_servants_in_undeath_hydra	VAR_CHANCE	5	default
6704221522	rhox_dk_servants_in_undeath_colossus	CND_FACTION	ovn_tmb_dread_king	default
6704221523	rhox_dk_servants_in_undeath_colossus	CND_FIRST_ROUND	5	default
6704221524	rhox_dk_servants_in_undeath_colossus	CND_ROUNDS_UNTIL_NEXT	40	default
6704221525	rhox_dk_servants_in_undeath_colossus	GEN_TARGET_NONE		default
6704221526	rhox_dk_servants_in_undeath_colossus	VAR_CHANCE	5	default
