key	group	initial_unit_count	pool	faction_requirement	subculture_requirement	tech_requirement
#mercenary_pool_to_groups_junctions_tables;1;db/mercenary_pool_to_groups_junctions_tables/ovn_dread_king_only						
190904	ovn_dk_inf_brigands_ror	1	wh2_dlc09_tmb_units_of_renown_pool	ovn_tmb_dread_king	wh2_dlc09_sc_tmb_tomb_kings	
190905	ovn_dk_inf_mummies_ror	1	wh2_dlc09_tmb_units_of_renown_pool	ovn_tmb_dread_king	wh2_dlc09_sc_tmb_tomb_kings	
190906	ovn_dk_inf_wights_ror	1	wh2_dlc09_tmb_units_of_renown_pool	ovn_tmb_dread_king	wh2_dlc09_sc_tmb_tomb_kings	
190907	ovn_dk_inf_catacomb_guardians_ror	1	wh2_dlc09_tmb_units_of_renown_pool	ovn_tmb_dread_king	wh2_dlc09_sc_tmb_tomb_kings	
190908	ovn_dk_cav_black_grail_knights_ror	1	wh2_dlc09_tmb_units_of_renown_pool	ovn_tmb_dread_king	wh2_dlc09_sc_tmb_tomb_kings	
190909	ovn_dk_mon_skeleton_elephant_ror	1	wh2_dlc09_tmb_units_of_renown_pool	ovn_tmb_dread_king	wh2_dlc09_sc_tmb_tomb_kings	
190910	ovn_dk_inf_spartan_ror	0	wh2_dlc09_tmb_units_of_renown_pool	ovn_tmb_dread_king	wh2_dlc09_sc_tmb_tomb_kings	
190911	ovn_dk_inf_thessos_ror	0	wh2_dlc09_tmb_units_of_renown_pool	ovn_tmb_dread_king	wh2_dlc09_sc_tmb_tomb_kings	
190912	ovn_dk_cav_ephalian_ror	0	wh2_dlc09_tmb_units_of_renown_pool	ovn_tmb_dread_king	wh2_dlc09_sc_tmb_tomb_kings	
190913	ovn_dk_art_polybolos_ror	0	wh2_dlc09_tmb_units_of_renown_pool	ovn_tmb_dread_king	wh2_dlc09_sc_tmb_tomb_kings	
646042215	rhox_dk_ovn_dk_inf_skeleton_hoplites_no_caps	0	rhox_dk_raise_dead_pool			
646042216	rhox_dk_ovn_dk_inf_skeleton_pikemen_no_caps	0	rhox_dk_raise_dead_pool			
646042217	rhox_dk_ovn_dk_inf_skeleton_javelinmen_no_caps	0	rhox_dk_raise_dead_pool			
646042218	rhox_dk_wh2_dlc09_tmb_inf_skeleton_archers_no_caps	0	rhox_dk_raise_dead_pool			
646042219	rhox_dk_ovn_dk_cav_skeleton_horsemen_no_caps	0	rhox_dk_raise_dead_pool			
646042220	rhox_dk_ovn_dk_cav_skeleton_horsemen_archers_no_caps	0	rhox_dk_raise_dead_pool			
646042221	rhox_dk_ovn_dk_mon_skeleton_elephant_no_caps	0	rhox_dk_raise_dead_pool			
646042222	rhox_dk_ovn_dk_mon_skeleton_giant_no_caps	0	rhox_dk_raise_dead_pool			
646042223	rhox_dk_ovn_dk_mon_skeletal_minotaurs_no_caps	0	rhox_dk_raise_dead_pool			
646042224	rhox_dk_ovn_dk_mon_bone_hydra_no_caps	0	rhox_dk_raise_dead_pool			
646042225	nag_morghasts	10	wh2_dlc09_tmb_units_of_renown_pool			
