key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/ovn_dread_king_only								
ovn_lord_trait_dread_king	ph	ph	faction	1	disaster.png	false	false	true
ovn_tomb_king_diplo_hidden			faction	0	diplomacy.png	false	false	true
dread_ritual_tmb_awakening	{{tr:dread_ritual_tmb_awakening_description}}	Rite of Awakening	faction	1	effect_rite.png	true	false	true
dread_ritual_tmb_legions	{{tr:dread_ritual_tmb_legions_description}}	Rite of the Endless Legions	faction	1	effect_rite.png	true	false	true
dread_ritual_tmb_conquest	{{tr:dread_ritual_tmb_conquest_description}}	Rite of Conquest	faction	1	effect_rite.png	true	false	true
dread_ritual_tmb_necromancy	{{tr:dread_ritual_tmb_necromancy_description}}	Rite of Necromancy	faction	1	effect_rite.png	true	false	true
dread_ritual_crafting_tmb_hero_capacity_hellwraith			faction	0		true	false	true
dread_ritual_crafting_tmb_hero_capacity_priest			faction	0		true	false	true
dread_ritual_crafting_tmb_hero_capacity_hetairoi			faction	0		true	false	true
wh3_main_corruption_vampiric_91-100_ovn_dread_king			province	1	corruption_vampiric.png	true	false	true
wh3_main_corruption_vampiric_81-90_ovn_dread_king			province	1	corruption_vampiric.png	true	false	true
wh3_main_corruption_vampiric_71-80_ovn_dread_king			province	1	corruption_vampiric.png	true	false	true
wh3_main_corruption_vampiric_61-70_ovn_dread_king			province	1	corruption_vampiric.png	true	false	true
wh3_main_corruption_vampiric_51-60_ovn_dread_king			province	1	corruption_vampiric.png	true	false	true
wh3_main_corruption_vampiric_41-50_ovn_dread_king			province	1	corruption_vampiric.png	true	false	true
wh3_main_corruption_vampiric_31-40_ovn_dread_king			province	1	corruption_vampiric.png	true	false	true
wh3_main_corruption_vampiric_21-30_ovn_dread_king			province	1	corruption_vampiric.png	true	false	true
wh3_main_corruption_vampiric_11-20_ovn_dread_king			province	1	corruption_vampiric.png	true	false	true
wh3_main_corruption_vampiric_1-10_ovn_dread_king			province	1	corruption_vampiric.png	true	false	true
dread_edict_tmb_worship_of_asaph		Foster Terror	province	1	edict_foster_terror.png	true	false	true
dread_edict_tmb_worship_of_djaf		Evocation of Nagash	province	1	edict_evocation_of_nagash.png	true	false	true
dread_edict_tmb_worship_of_khsar		Bat Swarms	province	1	edict_cst_bat_swarms.png	true	false	true
dread_edict_tmb_worship_of_phakth		Ancient Glory	province	1	edict_tmb_worship_of_phakth.png	true	false	true
dread_edict_tmb_worship_of_ptra		Undead Labourers	province	1	edict_repress_mortals.png	true	false	true
ovn_vc_dk_aon	 		faction	1	books_of_nagash.png	true	false	true
ovn_vc_dk_do	 		faction	1	corruption_vampiric.png	true	false	true
