base_unit	mounted_unit	icon_name
#units_custom_battle_mounts_tables;1;db/units_custom_battle_mounts_tables/ovn_dread_king_only		
Dread_King	Dread_King_barded_steed	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
Dread_King	Dread_King_pegasus	ui/campaign ui/mounts/mount_hellsteed.png
Dread_King	Dread_King_zombie_dragon	ui/campaign ui/mounts/mount_zombie_dragon.png
elo_hand_of_nagash	elo_hand_of_nagash_barded_steed	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
elo_hand_of_nagash	elo_hand_of_nagash_chariot	ui/campaign ui/mounts/mount_skeleton_chariot.png
elo_dread_centurion	elo_dread_centurion_barded_horse	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
elo_dread_centurion	elo_dread_centurion_chariot	ui/campaign ui/mounts/mount_skeleton_chariot.png
elo_dread_centurion	elo_dread_centurion_pegasus	ui/campaign ui/mounts/mount_hellsteed.png
elo_liche_general_vampires	elo_liche_general_vampires_barded_steed	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
elo_liche_general_vampires	elo_liche_general_vampires_chariot	ui/campaign ui/mounts/mount_skeleton_chariot.png
elo_liche_general_vampires	elo_liche_general_vampires_pegasus	ui/campaign ui/mounts/mount_hellsteed.png
elo_liche_general_vampires	elo_liche_general_vampires_elephant	ui/campaign ui/mounts/mount_mammoth.png
elo_liche_general_death	elo_liche_general_death_barded_steed	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
elo_liche_general_death	elo_liche_general_death_chariot	ui/campaign ui/mounts/mount_skeleton_chariot.png
elo_liche_general_death	elo_liche_general_death_pegasus	ui/campaign ui/mounts/mount_hellsteed.png
elo_liche_general_death	elo_liche_general_death_elephant	ui/campaign ui/mounts/mount_mammoth.png
dread_corrupted_priest_death	dread_corrupted_priest_death_barded_steed	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
dread_corrupted_priest_shadow	dread_corrupted_priest_shadow_barded_steed	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
dread_corrupted_priest_vampires	dread_corrupted_priest_vampires_barded_steed	ui/campaign ui/mounts/mount_skeletal_steed_tmb.png
