bonus_value_id	effect	unit_set
#effect_bonus_value_ids_unit_sets_tables;0;db/effect_bonus_value_ids_unit_sets_tables/ovn_dread_king_only		
melee_attack_mod	dread_legion_all_mattk	dread_legion_all
melee_defence_mod	dread_legion_all_mdef	dread_legion_all
unit_damage_resistance_physical_mod	dread_legion_all_phyres	dread_legion_all
morale	dread_legion_all_leadership	dread_legion_all
missile_damage_ap_mod_mult	dread_legion_all_missile_damage	dread_legion_all
missile_damage_mod_mult	dread_legion_all_missile_damage	dread_legion_all
melee_attack_mod	larenscheld_ghost_matt	elo_larenscheld_afterlife
melee_defence_mod	larenscheld_ghost_mdef	elo_larenscheld_afterlife
damage_vs_infantry	larenscheld_ghost_vsmall	elo_larenscheld_afterlife
unit_damage_resistance_all_mod	larenscheld_ghost_ward	elo_larenscheld_afterlife
damage_vs_large_entities	larenscheld_ghost_vlarge	elo_larenscheld_afterlife
armour_mod	larenscheld_ghost_armour	elo_larenscheld_afterlife
morale	larenscheld_ghost_morale	elo_larenscheld_afterlife
melee_damage_mod_mult	larenscheld_ghost_wps	elo_larenscheld_afterlife
melee_damage_ap_mod_mult	larenscheld_ghost_wps	elo_larenscheld_afterlife
armour_mod	wh2_dlc09_effect_force_stat_armour_warsphinx	ovn_dk_mon_skeleton_elephant
damage_vs_large_entities	wh2_dlc09_effect_force_stat_bonus_vs_large_sphinx	ovn_dk_mon_skeleton_elephant
charge_add	wh2_dlc09_effect_force_stat_charge_bonus_add_tmb_chariot_warsphinx	ovn_dk_mon_skeleton_elephant
melee_attack_mod	wh2_dlc09_effect_force_stat_melee_attack_tmb_chariot_warsphinx	ovn_dk_mon_skeleton_elephant
melee_defence_mod	wh2_dlc09_effect_force_stat_melee_defence_tmb_warsphinx	ovn_dk_mon_skeleton_elephant
missile_damage_ap_mod_mult	wh2_dlc09_effect_force_stat_missile_damage_tmb_warsphinx	ovn_dk_mon_skeleton_elephant
missile_damage_mod_mult	wh2_dlc09_effect_force_stat_missile_damage_tmb_warsphinx	ovn_dk_mon_skeleton_elephant
reload	wh2_dlc09_effect_force_stat_reload_time_reduction_chariot_warsphinx	ovn_dk_mon_skeleton_elephant
unit_cap	unit_cap_ovn_dk_mon_skeleton_elephant	ovn_dk_mon_skeleton_elephant
unit_cap	wh2_dlc09_effect_unit_cap_tmb_jackal	ovn_dk_mon_skeleton_minotaurs_no_ror
morale	wh2_dlc09_effect_force_stat_leadership_tomb_guards_chariots	ovn_dk_skeleton_guards_chariots
melee_attack_mod	wh2_dlc09_effect_force_stat_melee_attack_tomb_guard_chariots	ovn_dk_skeleton_guards_chariots
melee_defence_mod	wh2_dlc09_effect_force_stat_melee_defence_tmb_tomb_guards_chariots	ovn_dk_skeleton_guards_chariots
replenishment_percentage_bonus	wh2_dlc09_effect_replenishment_tomb_guard_chariots	ovn_dk_skeleton_guards_chariots
