deactivate_flag	special_ability
#special_ability_to_auto_deactivate_flags_tables;0;db/special_ability_to_auto_deactivate_flags_tables/ovn_dread_king_only	
morale_is_lower_than_half_of_base_morale	elo_hand_punished_one
unit_alive	larenscheld_ghost_on_death
morale_is_broken_or_lower	dread_passive_blessing_black_grail
morale_is_broken_or_lower	dread_passive_blessing_mimic_black_grail
hasnt_realm_of_souls_tier_3	wh2_dlc09_army_passive_realm_of_souls_skeleminos_trigger
on_a_platform	dread_passive_teb_stance
losing_melee_combat	dread_passive_teb_stance
moving	dread_passive_phalanx
friendly_battle_leader_killed_or_routed	elo_necromantic_anchor
morale_is_broken_or_lower	dread_soulreaper
out_of_melee	dread_soulreaper
health_above_50%	dread_passive_thessos
unit_tier1_kills	dread_passive_wights_ror
friendly_battle_leader_killed_or_routed	dread_passive_catacomb_guardians
out_of_melee	elo_hungering_blade
unit_tier2_kills	elo_liche_land_of_nagash
out_of_melee	ovn_unending_legions
morale_is_broken_or_lower	ovn_unending_legions
health_below_25%	ovn_undead_elite
out_of_melee	ovn_undead_elite
morale_is_broken_or_lower	ovn_undead_elite
moving	dread_passive_inpenetrable_phalanx
health_below_50%	ovn_undead_discipline
morale_is_wavering_or_lower	ovn_undead_discipline
unit_is_not_charging	ovn_chariot_charge
no_enemies_in_intercept_range_large	ovn_undead_rider_elite
morale_is_wavering_or_lower	ovn_undead_rider_elite
out_of_melee	ovn_ghost_barrier
morale_is_broken_or_lower	ovn_ghost_barrier
out_of_melee	Dread_Aura
