building_chain	building_instance	building_or_building_range_start_inclusive	building_range_end_inclusive	building_super_chain	cai_construction_system_category	cai_construction_system_category_group	campaign	culture	faction	sub_culture	per_faction_building_limit_start	per_faction_building_limit_end	per_faction_building_minimum_discount_when_exceeding_limit_start	per_faction_building_maximum_discount_when_exceeding_limit_start	per_faction_building_minimum_discount_when_exceeding_limit_end	per_faction_building_maximum_discount_when_exceeding_limit_end	per_faction_per_building_discount_increment_when_exceeding_limit_start	per_faction_per_building_discount_increment_when_exceeding_limit_end	per_province_building_limit_start	per_province_building_limit_end	per_province_building_minimum_discount_when_exceeding_limit_start	per_province_building_maximum_discount_when_exceeding_limit_start	per_province_building_minimum_discount_when_exceeding_limit_end	per_province_building_maximum_discount_when_exceeding_limit_end	per_province_per_building_discount_increment_when_exceeding_limit_start	per_province_per_building_discount_increment_when_exceeding_limit_end	score_end_inclusive	score_or_score_start_inclusive
#cai_construction_system_building_values_tables;0;db/cai_construction_system_building_values_tables/ovn_dread_king_only																												
dread_infantry						cai_military_group					0	0	1000	1000	1000	1000	0	0	-1	-1	0	0	0	0	0	0	1010	1500
dread_cavalry						cai_military_group					0	0	1000	1000	1000	1000	0	0	-1	-1	0	0	0	0	0	0	1005	1250
dread_burial_mound						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	2500
dread_ghosts						cai_military_group					0	0	1000	1000	1000	1000	0	0	-1	-1	0	0	0	0	0	0	1010	1500
dread_hydras						cai_military_group					0	0	1000	1000	1000	1000	0	0	-1	-1	0	0	0	0	0	0	1010	1500
dread_colossus						cai_military_group					0	0	1000	1000	1000	1000	0	0	-1	-1	0	0	0	0	0	0	1010	1500
dread_mortis						cai_military_group					0	0	1000	1000	1000	1000	0	0	-1	-1	0	0	0	0	0	0	1010	1500
dread_pyramid_omanhan_landmark						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	2500
dread_pyramid_nebwaneph_landmark						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	2500
dread_pyramid_dread_king_landmark						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	2500
dread_palace_myrmidens_landmark						cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	2500
dread_temple_of_doom_landmark						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	2500
dread_citadel						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	250
dread_estate						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	250
dread_growth						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	50	250
dread_income						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	1000
dread_public_order						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	20	125
dread_special_nagashizzar_dread_king						cai_military_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	2500
dread_special_the_great_desert_dread_king						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	2500
dread_special_galbaraz_mourkain_tmb						cai_support_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	2500
